Lenz-Majewski hyperostotic dwarfism	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
51	GO:BP	GO:0060627	regulation of vesicle-mediated transport	5.943248818252585e-07	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	519	96	17	15719	0.1770833333333333	0.0327552986512524	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['RAB7A', 'RUFY1', 'SYT1', 'RAB8A', 'RAB8B', 'VAMP2', 'RAB5B', 'RABGEF1', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'RAB13', 'ARHGDIA', 'RAB10', 'STXBP1', 'RAB3A']
52	GO:BP	GO:0060211	regulation of nuclear-transcribed mRNA poly(A) tail shortening	6.037892126190425e-07	True	"""Any process that modulates the frequency, rate or extent of poly(A) tail shortening of a nuclear-transcribed mRNA. Poly(A) tail shortening is the decrease in length of the poly(A) tail of an mRNA from full length to an oligo(A) length."" [GOC:dph, GOC:tb]"	14	96	5	15719	0.0520833333333333	0.3571428571428571	query_1	['GO:0000289', 'GO:0061013']	['ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C']
36	GO:CC	GO:0043231	intracellular membrane-bounded organelle	7.220259264705201e-07	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	11275	95	87	16420	0.9157894736842104	0.0077161862527716	query_1	['GO:0043227', 'GO:0043229']	['PRKRA', 'MOV10', 'RAB34', 'RAB14', 'RAB1B', 'AGO4', 'SLC25A52', 'TPX2', 'RAB7A', 'RUFY1', 'PAWR', 'OPTN', 'TMEM120B', 'ABCD3', 'MICALL1', 'SYT1', 'RAB8A', 'ABCD2', 'HTT', 'TMEM102', 'OSBPL1A', 'BMX', 'RAB8B', 'BACE1', 'ZFP36', 'RABEP1', 'VAMP2', 'NT5E', 'RAB5B', 'AGO2', 'TNRC6A', 'RABGEF1', 'SCML1', 'RAB3IP', 'PTDSS1', 'TMEM143', 'STX1A', 'RAB5C', 'TNRC6B', 'ABCD1', 'CHM', 'RAB5A', 'TARBP2', 'RAB4A', 'GGA1', 'DICER1', 'RAB13', 'ARHGDIA', 'RHOG', 'RILP', 'PEX3', 'TNRC6C', 'RAB1A', 'ELOVL2', 'CHML', 'GGA2', 'NAT8', 'GGA3', 'SLC39A4', 'KTN1', 'YWHAE', 'PPFIA3', 'GOLM1', 'GDI1', 'SNAP25', 'SLC27A2', 'AGO3', 'PEX19', 'HSD17B10', 'USP3', 'GDI2', 'ARHGDIG', 'TRMT10C', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'AGO1', 'PIGW', 'RHOH', 'RAB3A', 'PEX16', 'PTP4A2', 'ARHGDIB', 'RAB6A', 'RAB3IL1']
53	GO:BP	GO:0045046	protein import into peroxisome membrane	7.847761036239351e-07	True	"""The targeting of proteins into the peroxisomal membrane. The process is not well understood, but both signals and mechanism differ from those involved in peroxisomal matrix protein import."" [ISBN:0716731363, PMID:11687502]"	6	96	4	15719	0.0416666666666666	0.6666666666666666	query_1	['GO:0006612', 'GO:0006625', 'GO:0015919']	['RAB8B', 'PEX3', 'PEX19', 'PEX16']
37	GO:CC	GO:0048471	perinuclear region of cytoplasm	1.09203974258313e-06	True	"""Cytoplasm situated near, or occurring around, the nucleus."" [GOC:jid]"	717	95	18	16420	0.1894736842105263	0.0251046025104602	query_1	['GO:0005737', 'GO:0110165']	['PRKRA', 'APBA3', 'RAB34', 'RAB14', 'RAB1B', 'OPTN', 'HTT', 'RAB8B', 'VAMP2', 'RAB3IP', 'ABCD1', 'TARBP2', 'RAB4A', 'DICER1', 'SNAP25', 'RAB10', 'STXBP1', 'RAB3A']
38	GO:CC	GO:0098791	Golgi apparatus subcompartment	1.104305148168556e-06	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of the Golgi apparatus."" [GOC:dos]"	356	95	13	16420	0.1368421052631579	0.0365168539325842	query_1	['GO:0005794', 'GO:0031984']	['RAB34', 'RAB14', 'OPTN', 'RAB8A', 'BACE1', 'VAMP2', 'GGA1', 'RAB13', 'GGA2', 'GGA3', 'SNAP25', 'RAB10', 'RAB6A']
54	GO:BP	GO:0032456	endocytic recycling	1.2743977402061457e-06	True	"""The directed movement of membrane-bounded vesicles from endosomes back to the plasma membrane, a trafficking pathway that promotes the recycling of internalized transmembrane proteins."" [PMID:16473635, PMID:23563491]"	81	96	8	15719	0.0833333333333333	0.0987654320987654	query_1	['GO:0016197', 'GO:0098876']	['RAB14', 'RAB7A', 'MICALL1', 'RAB8A', 'RAB8B', 'RAB13', 'GGA3', 'RAB35']
39	GO:CC	GO:0070032	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex	1.529156408747699e-06	True	"""A SNARE complex that contains synaptobrevin 2 (VAMP2), SNAP-25, syntaxin 1a, and complexin I (or orthologs thereof)."" [PMID:7553862]"	3	95	3	16420	0.031578947368421	1.0	query_1	['GO:0031201']	['VAMP2', 'STX1A', 'SNAP25']
40	GO:CC	GO:0030667	secretory granule membrane	1.601327388789277e-06	True	"""The lipid bilayer surrounding a secretory granule."" [GOC:mah]"	307	95	12	16420	0.1263157894736842	0.0390879478827361	query_1	['GO:0030141', 'GO:0030659', 'GO:0098588']	['RAB14', 'RAB7A', 'SYT1', 'VAMP2', 'RAB5B', 'RAB5C', 'RHOG', 'SNAP25', 'SLC27A2', 'RAB10', 'RAB3A', 'RAB6A']
55	GO:BP	GO:0061024	membrane organization	1.6949750457196338e-06	True	"""A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins."" [GOC:dph, GOC:tb]"	785	96	20	15719	0.2083333333333333	0.0254777070063694	query_1	['GO:0016043']	['RAB34', 'RAB7A', 'MICALL1', 'SYT1', 'RAB8A', 'ABCD2', 'TMEM102', 'RAB8B', 'RABEP1', 'VAMP2', 'STX1A', 'ABCD1', 'RAB13', 'RHOG', 'RILP', 'RAB1A', 'SNAP25', 'STXBP1', 'RHOH', 'RAB3A']
57	GO:BP	GO:0018344	protein geranylgeranylation	1.6968761450136489e-06	True	"""The covalent attachment of a geranylgeranyl group to a protein."" [GOC:jl]"	7	96	4	15719	0.0416666666666666	0.5714285714285714	query_1	['GO:0018342']	['RABGGTB', 'RABGGTA', 'CHM', 'CHML']
56	GO:BP	GO:0042760	very long-chain fatty acid catabolic process	1.6968761450136489e-06	True	"""The chemical reactions and pathways resulting in the breakdown of a very long chain fatty acid, a fatty acid with an aliphatic tail of 22 or more carbons."" [PMID:7744868]"	7	96	4	15719	0.0416666666666666	0.5714285714285714	query_1	['GO:0000038', 'GO:0009062']	['ABCD3', 'ABCD2', 'ABCD1', 'SLC27A2']
58	GO:BP	GO:0010256	endomembrane system organization	1.7664933256301904e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the endomembrane system."" [GOC:mah, GOC:sm]"	564	96	17	15719	0.1770833333333333	0.0301418439716312	query_1	['GO:0016043']	['RAB1B', 'RAB7A', 'OPTN', 'MICALL1', 'SYT1', 'RAB8A', 'ABCD2', 'HTT', 'RAB5B', 'STX1A', 'ABCD1', 'RILP', 'RAB1A', 'SNAP25', 'RAB10', 'STXBP1', 'RAB3A']
59	GO:BP	GO:0051640	organelle localization	1.7822244404382347e-06	True	"""Any process in which an organelle is transported to, and/or maintained in, a specific location."" [GOC:ai]"	565	96	17	15719	0.1770833333333333	0.0300884955752212	query_1	['GO:0051179']	['RAB34', 'RAB7A', 'SYT1', 'RAB8A', 'HTT', 'RAB8B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB13', 'RAB1A', 'PPFIA3', 'SNAP25', 'RAB10', 'STXBP1', 'RAB3A', 'RAB6A']
26	REAC	REAC:R-HSA-211000	Gene Silencing by RNA	1.991013917310673e-06	True	Gene Silencing by RNA	134	86	10	10022	0.1162790697674418	0.0746268656716417	query_1	['REAC:R-HSA-74160']	['PRKRA', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TARBP2', 'DICER1', 'TNRC6C', 'AGO3', 'AGO1']
27	REAC	REAC:R-HSA-888590	GABA synthesis, release, reuptake and degradation	2.2469618270217424e-06	True	GABA synthesis, release, reuptake and degradation	17	86	5	10022	0.0581395348837209	0.2941176470588235	query_1	['REAC:R-HSA-112310']	['SYT1', 'VAMP2', 'STX1A', 'SNAP25', 'RAB3A']
28	REAC	REAC:R-HSA-1369062	ABC transporters in lipid homeostasis	2.2469618270217424e-06	True	ABC transporters in lipid homeostasis	17	86	5	10022	0.0581395348837209	0.2941176470588235	query_1	['REAC:R-HSA-382556']	['ABCD3', 'ABCD2', 'ABCD1', 'PEX3', 'PEX19']
41	GO:CC	GO:0030136	clathrin-coated vesicle	2.409552230091223e-06	True	"""A vesicle with a coat formed of clathrin connected to the membrane via one of the clathrin adaptor complexes."" [GOC:mah, PMID:11252894]"	206	95	10	16420	0.1052631578947368	0.0485436893203883	query_1	['GO:0030135']	['RAB14', 'SYT1', 'RAB8A', 'RAB8B', 'VAMP2', 'RAB5A', 'RAB13', 'GGA2', 'RAB35', 'RAB3A']
29	REAC	REAC:R-HSA-1912422	Pre-NOTCH Expression and Processing	2.5276321203251304e-06	True	Pre-NOTCH Expression and Processing	106	86	9	10022	0.1046511627906976	0.0849056603773584	query_1	['REAC:R-HSA-157118']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1', 'RAB6A']
60	GO:BP	GO:0006612	protein targeting to membrane	3.029148274410265e-06	True	"""The process of directing proteins towards a membrane, usually using signals contained within the protein."" [GOC:curators]"	128	96	9	15719	0.09375	0.0703125	query_1	['GO:0006605', 'GO:0090150']	['MICALL1', 'RAB8B', 'RABGEF1', 'RAB3IP', 'CHM', 'PEX3', 'GDI1', 'PEX19', 'PEX16']
61	GO:BP	GO:0030422	siRNA processing	3.159937987850967e-06	True	"""A process leading to the generation of a functional small interfering RNA (siRNA). Includes the cleavage of double-stranded RNA to form small interfering RNA molecules (siRNAs) of 21-23 nucleotides. May also include amplification of the siRNA by RNA-directed RNA polymerase."" [GOC:mah, PMID:11524674, PMID:19239886, PMID:20687832]"	8	96	4	15719	0.0416666666666666	0.5	query_1	['GO:0070918']	['PRKRA', 'AGO2', 'TARBP2', 'DICER1']
43	GO:CC	GO:0030672	synaptic vesicle membrane	3.4084661425880262e-06	True	"""The lipid bilayer surrounding a synaptic vesicle."" [GOC:mah]"	120	95	8	16420	0.0842105263157894	0.0666666666666666	query_1	['GO:0008021', 'GO:0099501']	['RAB7A', 'SYT1', 'VAMP2', 'RAB5B', 'STX1A', 'RAB5A', 'RAB35', 'RAB3A']
42	GO:CC	GO:0099501	exocytic vesicle membrane	3.4084661425880262e-06	True	"""The lipid bilayer surrounding an exocytic vesicle."" [GOC:dos]"	120	95	8	16420	0.0842105263157894	0.0666666666666666	query_1	['GO:0030658', 'GO:0070382']	['RAB7A', 'SYT1', 'VAMP2', 'RAB5B', 'STX1A', 'RAB5A', 'RAB35', 'RAB3A']
62	GO:BP	GO:0016079	synaptic vesicle exocytosis	4.256041913974971e-06	True	"""Fusion of intracellular membrane-bounded vesicles with the pre-synaptic membrane of the neuronal cell resulting in release of neurotransmitter into the synaptic cleft."" [GOC:jid, GOC:lmg]"	96	96	8	15719	0.0833333333333333	0.0833333333333333	query_1	['GO:0007269', 'GO:0045055', 'GO:0051649', 'GO:0099003', 'GO:0099504', 'GO:0099643']	['SYT1', 'VAMP2', 'STX1A', 'RAB5A', 'PPFIA3', 'SNAP25', 'STXBP1', 'RAB3A']
44	GO:CC	GO:0005622	intracellular anatomical structure	4.688033650598128e-06	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	13702	95	94	16420	0.9894736842105264	0.0068603123631586	query_1	['GO:0110165']	['PRKRA', 'APBA3', 'MOV10', 'RAB34', 'RAB14', 'RAB1B', 'AGO4', 'SLC25A52', 'TPX2', 'RAB7A', 'RUFY1', 'PAWR', 'OPTN', 'TMEM120B', 'ABCD3', 'MICALL1', 'SYT1', 'RAB8A', 'AS3MT', 'ABCD2', 'HTT', 'TMEM102', 'OSBPL1A', 'BMX', 'RAB8B', 'BACE1', 'ZFP36', 'RABGGTB', 'RABEP1', 'VAMP2', 'NT5E', 'RAB5B', 'AGO2', 'TNRC6A', 'CCDC43', 'RABGEF1', 'SCML1', 'RAB3IP', 'PTDSS1', 'TMEM143', 'STX1A', 'RAB5C', 'TNRC6B', 'RABGGTA', 'ABCD1', 'CHM', 'RAB5A', 'TARBP2', 'RAB4A', 'GGA1', 'DICER1', 'RAB13', 'ARHGDIA', 'RHOG', 'RILP', 'PEX3', 'TNRC6C', 'RAB1A', 'ELOVL2', 'CHML', 'GGA2', 'NAT8', 'GGA3', 'SLC39A4', 'KTN1', 'YWHAE', 'PPFIA3', 'GOLM1', 'GDI1', 'SNAP25', 'SLC27A2', 'AGO3', 'PEX19', 'HSD17B10', 'USP3', 'GDI2', 'ARHGDIG', 'TRMT10C', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'S1PR5', 'RAB23', 'AGO1', 'LONRF3', 'PIGW', 'RHOH', 'RAB3A', 'PEX16', 'PTP4A2', 'ARHGDIB', 'RAB6A', 'RAB3IL1']
46	GO:CC	GO:0060203	clathrin-sculpted glutamate transport vesicle membrane	5.183759744677189e-06	True	"""The lipid bilayer surrounding a clathrin-sculpted glutamate transport vesicle."" [GOC:dph]"	4	95	3	16420	0.031578947368421	0.75	query_1	['GO:0030658', 'GO:0030665', 'GO:0060199']	['SYT1', 'VAMP2', 'RAB3A']
45	GO:CC	GO:0060199	clathrin-sculpted glutamate transport vesicle	5.183759744677189e-06	True	"""A clathrin-sculpted lipid bilayer membrane-enclosed vesicle after clathrin release and containing glutamate."" [GOC:dph]"	4	95	3	16420	0.031578947368421	0.75	query_1	['GO:0030133', 'GO:0060198']	['SYT1', 'VAMP2', 'RAB3A']
63	GO:BP	GO:0010501	RNA secondary structure unwinding	5.484350347217166e-06	True	"""The process in which a secondary structure of RNA are broken or 'melted'."" [PMID:17169986]"	9	96	4	15719	0.0416666666666666	0.4444444444444444	query_1	['GO:0016070']	['AGO4', 'AGO2', 'AGO3', 'AGO1']
30	REAC	REAC:R-HSA-168799	Neurotoxicity of clostridium toxins	5.487500900117832e-06	True	Neurotoxicity of clostridium toxins	9	86	4	10022	0.0465116279069767	0.4444444444444444	query_1	['REAC:R-HSA-5339562']	['SYT1', 'VAMP2', 'STX1A', 'SNAP25']
64	GO:BP	GO:0070918	regulatory ncRNA processing	5.500301386506931e-06	True	"""A process leading to the generation of a functional regulatory non-coding RNA."" [GOC:mah, PMID:15196465, PMID:19239886]"	67	96	7	15719	0.0729166666666666	0.1044776119402985	query_1	['GO:0031047', 'GO:0034470']	['PRKRA', 'AGO4', 'AGO2', 'TARBP2', 'DICER1', 'AGO3', 'AGO1']
48	GO:CC	GO:0042579	microbody	6.33812432154008e-06	True	"""Cytoplasmic organelles, spherical or oval in shape, that are bounded by a single membrane and contain oxidative enzymes, especially those utilizing hydrogen peroxide (H2O2)."" [ISBN:0198506732]"	132	95	8	16420	0.0842105263157894	0.0606060606060606	query_1	['GO:0005737', 'GO:0043231']	['ABCD3', 'ABCD2', 'RAB8B', 'ABCD1', 'PEX3', 'SLC27A2', 'PEX19', 'PEX16']
47	GO:CC	GO:0005777	peroxisome	6.33812432154008e-06	True	"""A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism."" [GOC:pm, PMID:9302272, UniProtKB-KW:KW-0576]"	132	95	8	16420	0.0842105263157894	0.0606060606060606	query_1	['GO:0042579']	['ABCD3', 'ABCD2', 'RAB8B', 'ABCD1', 'PEX3', 'SLC27A2', 'PEX19', 'PEX16']
65	GO:BP	GO:0006897	endocytosis	6.343578713806667e-06	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	698	96	18	15719	0.1875	0.0257879656160458	query_1	['GO:0016192']	['RAB34', 'RAB14', 'RAB7A', 'RUFY1', 'MICALL1', 'SYT1', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'RHOG', 'RAB1A', 'SNAP25', 'RHOH']
66	GO:BP	GO:0035279	miRNA-mediated gene silencing by mRNA destabilization	7.192995247915374e-06	True	"""An RNA interference pathway in which microRNAs (miRNAs) direct the cleavage of target mRNAs. Once incorporated into a RNA-induced silencing complex (RISC), a miRNA base pairing with near-perfect complementarity to the target mRNA will typically direct targeted endonucleolytic cleavage of the mRNA. Many plant miRNAs downregulate gene expression through this mechanism."" [GOC:dph, GOC:mtg_lung, PMID:14744438, PMID:15196554, PMID:21118121, PMID:23209154]"	3	96	3	15719	0.03125	1.0	query_1	['GO:0035195', 'GO:0061157']	['MOV10', 'AGO2', 'AGO3']
31	REAC	REAC:R-HSA-5687128	MAPK6/MAPK4 signaling	7.314579212829674e-06	True	MAPK6/MAPK4 signaling	89	86	8	10022	0.0930232558139534	0.0898876404494382	query_1	['REAC:R-HSA-5683057']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
49	GO:CC	GO:0036464	cytoplasmic ribonucleoprotein granule	7.891871366436316e-06	True	"""A ribonucleoprotein granule located in the cytoplasm."" [GOC:bf, GOC:PARL, PMID:15121898]"	239	95	10	16420	0.1052631578947368	0.0418410041841004	query_1	['GO:0005737', 'GO:0035770']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'USP3', 'AGO1']
32	REAC	REAC:R-HSA-1912408	Pre-NOTCH Transcription and Translation	9.155366586551569e-06	True	Pre-NOTCH Transcription and Translation	92	86	8	10022	0.0930232558139534	0.0869565217391304	query_1	['REAC:R-HSA-1912422']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
67	GO:BP	GO:0031629	synaptic vesicle fusion to presynaptic active zone membrane	9.51991637691872e-06	True	"""Fusion of the membrane of a synaptic vesicle with the presynaptic active zone membrane, thereby releasing its cargo neurotransmitters into the synaptic cleft."" [GOC:aruk, GOC:bc, ISBN:0071120009, PMID:18618940]"	24	96	5	15719	0.0520833333333333	0.2083333333333333	query_1	['GO:0016079', 'GO:0048499', 'GO:0099500']	['SYT1', 'STX1A', 'SNAP25', 'STXBP1', 'RAB3A']
68	GO:BP	GO:0034249	negative regulation of amide metabolic process	1.0165730104066658e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving amides."" [GOC:mah]"	196	96	10	15719	0.1041666666666666	0.0510204081632653	query_1	['GO:0034248', 'GO:0043603', 'GO:0051172']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'GGA3', 'AGO3', 'AGO1']
69	GO:BP	GO:0099500	vesicle fusion to plasma membrane	1.1504202878789952e-05	True	"""Fusion of the membrane of a vesicle with the plasma membrane, thereby releasing its contents into the extracellular space."" [GOC:aruk, GOC:bc, ISBN:0071120009, PMID:18618940]"	25	96	5	15719	0.0520833333333333	0.2	query_1	['GO:0006906', 'GO:0140029']	['SYT1', 'STX1A', 'SNAP25', 'STXBP1', 'RAB3A']
50	GO:CC	GO:0070081	clathrin-sculpted monoamine transport vesicle	1.1664084176778482e-05	True	"""A clathrin-sculpted lipid bilayer membrane-enclosed vesicle after clathrin release and containing monoamines."" [GOC:mg2]"	5	95	3	16420	0.031578947368421	0.6	query_1	['GO:0030133', 'GO:0060198']	['SYT1', 'VAMP2', 'RAB3A']
51	GO:CC	GO:0070083	clathrin-sculpted monoamine transport vesicle membrane	1.1664084176778482e-05	True	"""The lipid bilayer surrounding a clathrin-sculpted monoamine transport vesicle."" [GOC:mg2]"	5	95	3	16420	0.031578947368421	0.6	query_1	['GO:0030658', 'GO:0030665', 'GO:0070081']	['SYT1', 'VAMP2', 'RAB3A']
52	GO:CC	GO:0030141	secretory granule	1.2438889264182848e-05	True	"""A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules."" [GOC:mah, ISBN:0198506732]"	867	95	18	16420	0.1894736842105263	0.0207612456747404	query_1	['GO:0012505', 'GO:0099503']	['RAB14', 'RAB7A', 'SYT1', 'VAMP2', 'RAB5B', 'STX1A', 'RAB5C', 'RAB4A', 'RAB13', 'RHOG', 'PPFIA3', 'SNAP25', 'SLC27A2', 'GDI2', 'RAB10', 'STXBP1', 'RAB3A', 'RAB6A']
53	GO:CC	GO:0035770	ribonucleoprotein granule	1.4059856402765246e-05	True	"""A non-membranous macromolecular complex containing proteins and translationally silenced mRNAs. RNA granules contain proteins that control the localization, stability, and translation of their RNA cargo. Different types of RNA granules (RGs) exist, depending on the cell type and cellular conditions."" [GOC:go_curators, GOC:sp, PMID:16520386, PMID:20368989, PMID:21436445]"	257	95	10	16420	0.1052631578947368	0.0389105058365758	query_1	['GO:0043232', 'GO:0099080']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'USP3', 'AGO1']
70	GO:BP	GO:0009896	positive regulation of catabolic process	1.424585225149032e-05	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]"	512	96	15	15719	0.15625	0.029296875	query_1	['GO:0009056', 'GO:0009893', 'GO:0009894']	['MOV10', 'RAB7A', 'OPTN', 'ABCD2', 'HTT', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'ABCD1', 'GGA1', 'RILP', 'TNRC6C', 'GGA3', 'AGO3']
33	REAC	REAC:R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane	1.6815423807978512e-05	True	Translocation of SLC2A4 (GLUT4) to the plasma membrane	70	86	7	10022	0.0813953488372093	0.1	query_1	['REAC:R-HSA-199991']	['RAB14', 'RAB8A', 'VAMP2', 'RAB4A', 'RAB13', 'YWHAE', 'RAB10']
54	GO:CC	GO:0031984	organelle subcompartment	1.769106100635532e-05	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]"	1388	95	23	16420	0.2421052631578947	0.0165706051873198	query_1	['GO:0043227', 'GO:0043229', 'GO:0110165']	['RAB34', 'RAB14', 'RAB1B', 'OPTN', 'RAB8A', 'BACE1', 'VAMP2', 'PTDSS1', 'ABCD1', 'GGA1', 'RAB13', 'RHOG', 'ELOVL2', 'GGA2', 'NAT8', 'GGA3', 'KTN1', 'SNAP25', 'SLC27A2', 'RAB10', 'PIGW', 'PEX16', 'RAB6A']
72	GO:BP	GO:0097354	prenylation	1.862541489715534e-05	True	"""The covalent attachment of a prenyl group to a molecule; geranyl, farnesyl, or geranylgeranyl groups may be added."" [GOC:di, PMID:18029206, PMID:21351751, PMID:22123822, PMID:22642693, PMID:22660767]"	12	96	4	15719	0.0416666666666666	0.3333333333333333	query_1	['GO:0044237']	['RABGGTB', 'RABGGTA', 'CHM', 'CHML']
71	GO:BP	GO:0018342	protein prenylation	1.862541489715534e-05	True	"""The covalent attachment of a prenyl group to a protein; geranyl, farnesyl, or geranylgeranyl groups may be added."" [GOC:di, ISBN:0198506732]"	12	96	4	15719	0.0416666666666666	0.3333333333333333	query_1	['GO:0036211', 'GO:0097354']	['RABGGTB', 'RABGGTA', 'CHM', 'CHML']
73	GO:BP	GO:0006605	protein targeting	1.8784576720507723e-05	True	"""The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif."" [GOC:ma]"	324	96	12	15719	0.125	0.037037037037037	query_1	['GO:0006886']	['RAB7A', 'MICALL1', 'RAB8B', 'RABGEF1', 'RAB3IP', 'CHM', 'PEX3', 'GGA3', 'YWHAE', 'GDI1', 'PEX19', 'PEX16']
55	GO:CC	GO:0048770	pigment granule	1.9440471810035634e-05	True	"""A small, subcellular membrane-bounded vesicle containing pigment and/or pigment precursor molecules. Pigment granule biogenesis is poorly understood, as pigment granules are derived from multiple sources including the endoplasmic reticulum, coated vesicles, lysosomes, and endosomes."" [GOC:jid, GOC:mh]"	110	95	7	16420	0.0736842105263157	0.0636363636363636	query_1	['GO:0031410']	['RAB7A', 'RAB5B', 'RAB5C', 'RAB5A', 'RAB1A', 'YWHAE', 'RAB35']
56	GO:CC	GO:0042470	melanosome	1.9440471810035634e-05	True	"""A tissue-specific, membrane-bounded cytoplasmic organelle within which melanin pigments are synthesized and stored. Melanosomes are synthesized in melanocyte cells."" [GOC:jl, PMID:11584301]"	110	95	7	16420	0.0736842105263157	0.0636363636363636	query_1	['GO:0048770']	['RAB7A', 'RAB5B', 'RAB5C', 'RAB5A', 'RAB1A', 'YWHAE', 'RAB35']
74	GO:BP	GO:0048499	synaptic vesicle membrane organization	2.35405870604559e-05	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the membrane surrounding a synaptic vesicle."" [GOC:dph, GOC:jl, GOC:mah, PMID:10620806]"	29	96	5	15719	0.0520833333333333	0.1724137931034483	query_1	['GO:0010256', 'GO:0061024']	['SYT1', 'STX1A', 'SNAP25', 'STXBP1', 'RAB3A']
75	GO:BP	GO:0099003	vesicle-mediated transport in synapse	2.4534064887823277e-05	True	"""Any vesicle-mediated transport that occurs in a synapse."" [GOC:dos]"	218	96	10	15719	0.1041666666666666	0.0458715596330275	query_1	['GO:0016192']	['SYT1', 'RAB8A', 'VAMP2', 'STX1A', 'RAB5A', 'ARHGDIA', 'PPFIA3', 'SNAP25', 'STXBP1', 'RAB3A']
77	GO:BP	GO:0048210	Golgi vesicle fusion to target membrane	2.460470768690937e-05	True	"""The joining of the lipid bilayer membrane around a Golgi transport vesicle to the target lipid bilayer membrane."" [GOC:jid, ISBN:0716731363, PMID:10219233]"	4	96	3	15719	0.03125	0.75	query_1	['GO:0006906', 'GO:0048193']	['RAB8A', 'RAB8B', 'RAB13']
76	GO:BP	GO:0015910	long-chain fatty acid import into peroxisome	2.460470768690937e-05	True	"""The directed movement of a long-chain fatty acid into a peroxisome. A long-chain fatty acid is a fatty acid with an aliphatic tail of 13 to 21 carbons."" [GOC:ai]"	4	96	3	15719	0.03125	0.75	query_1	['GO:0015909', 'GO:0015919', 'GO:0032365', 'GO:1902001']	['ABCD3', 'ABCD2', 'ABCD1']
