Noonan syndrome with multiple lentigines	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
229	GO:BP	GO:0045859	regulation of protein kinase activity	9.883450370599537e-13	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	593	103	25	15719	0.2427184466019417	0.042158516020236	query_1	['GO:0001932', 'GO:0043549']	['PIK3CB', 'SRC', 'ITGB3', 'VEGFC', 'HGF', 'KSR1', 'SHC1', 'SOS1', 'TGFBR2', 'LAT', 'LYN', 'LCP2', 'MAP2K1', 'EGFR', 'HSP90AA1', 'HRAS', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PTK2', 'MAP2K2', 'CBL', 'FLT1']
230	GO:BP	GO:0002685	regulation of leukocyte migration	1.1275607852286066e-12	True	"""Any process that modulates the frequency, rate, or extent of leukocyte migration."" [GOC:add]"	220	103	17	15719	0.1650485436893204	0.0772727272727272	query_1	['GO:0002682', 'GO:0030334', 'GO:0050900']	['VEGFB', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'MAPK3', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'PTK2B', 'VEGFA', 'CRKL', 'VEGFD', 'PTK2', 'PGF']
66	REAC	REAC:R-HSA-9664565	Signaling by ERBB2 KD Mutants	1.1857063019053729e-12	True	Signaling by ERBB2 KD Mutants	20	101	9	10022	0.0891089108910891	0.45	query_1	['REAC:R-HSA-1227990']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'HSP90AA1', 'HRAS', 'PLCG1', 'ERBB2']
231	GO:BP	GO:0007399	nervous system development	1.2513111706343226e-12	True	"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]"	2331	103	47	15719	0.4563106796116505	0.0201630201630201	query_1	['GO:0048731']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'FGFR2', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'FYN', 'ITGA4', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'MAP2K1', 'EGFR', 'YWHAZ', 'HSP90AA1', 'VCL', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'MAP2K2', 'PTPN11', 'SEMA4D', 'PLXNA1']
232	GO:BP	GO:0010632	regulation of epithelial cell migration	1.2978144432825493e-12	True	"""Any process that modulates the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	222	103	17	15719	0.1650485436893204	0.0765765765765765	query_1	['GO:0010631', 'GO:0030334', 'GO:0051239']	['MET', 'PIK3CB', 'BCAR1', 'SRC', 'ITGB3', 'VEGFC', 'PLCG2', 'FLT4', 'TGFBR2', 'PIK3CD', 'NRP2', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1']
233	GO:BP	GO:0050852	T cell receptor signaling pathway	1.566693721820133e-12	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:add]"	127	103	14	15719	0.1359223300970873	0.1102362204724409	query_1	['GO:0050851']	['BCAR1', 'MAPK1', 'ITK', 'PLCG2', 'PIK3CD', 'FYN', 'ZAP70', 'BRAF', 'LCP2', 'PIK3CA', 'HRAS', 'PLCG1', 'CRKL', 'LCK']
15	GO:CC	GO:0098796	membrane protein complex	1.5983380963271882e-12	True	"""Any protein complex that is part of a membrane."" [GOC:dos]"	1249	103	34	16420	0.3300970873786408	0.0272217774219375	query_1	['GO:0016020', 'GO:0032991']	['ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'ITGAV', 'PIK3R2', 'ITGB3', 'PIK3R1', 'SHC1', 'CTNNB1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'ITGA4', 'ZAP70', 'LAMTOR3', 'LYN', 'GRB2', 'EGFR', 'PIK3CA', 'ITGAE', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'PIK3R3', 'VTN', 'LAMTOR2', 'TGFBR1', 'VCAM1', 'ITGB6', 'ITGB7', 'CBL']
234	GO:BP	GO:0010595	positive regulation of endothelial cell migration	1.86283088083716e-12	True	"""Any process that increases the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:BHF, GOC:dph, GOC:tb]"	102	103	13	15719	0.1262135922330097	0.1274509803921568	query_1	['GO:0010594', 'GO:0010634', 'GO:0043542']	['MET', 'PIK3CB', 'BCAR1', 'ITGB3', 'VEGFC', 'FLT4', 'PIK3CD', 'NRP2', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'NRP1']
235	GO:BP	GO:0048667	cell morphogenesis involved in neuron differentiation	1.937423985676345e-12	True	"""The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron."" [GOC:dph, GOC:tb]"	555	103	24	15719	0.233009708737864	0.0432432432432432	query_1	['GO:0000904', 'GO:0048666']	['ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'FGFR2', 'SOS1', 'FYN', 'ITGA4', 'BRAF', 'NRP2', 'MAP2K1', 'HSP90AA1', 'VCL', 'SMURF1', 'ERBB2', 'CDH1', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'MAP2K2', 'PTPN11', 'SEMA4D', 'PLXNA1']
67	REAC	REAC:R-HSA-1227990	Signaling by ERBB2 in Cancer	2.0275641957823328e-12	True	Signaling by ERBB2 in Cancer	21	101	9	10022	0.0891089108910891	0.4285714285714285	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'HSP90AA1', 'HRAS', 'PLCG1', 'ERBB2']
68	REAC	REAC:R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	2.0369388522924327e-12	True	Fc epsilon receptor (FCERI) signaling	132	101	16	10022	0.1584158415841584	0.1212121212121212	query_1	['REAC:R-HSA-168249']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'MAPK1', 'ITK', 'PLCG2', 'MAPK3', 'SOS1', 'FYN', 'LYN', 'LCP2', 'PIK3CA', 'HRAS', 'VAV1', 'SYK', 'PLCG1']
236	GO:BP	GO:0051336	regulation of hydrolase activity	2.2175452423874666e-12	True	"""Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [GOC:ai]"	933	103	30	15719	0.2912621359223301	0.0321543408360128	query_1	['GO:0050790']	['MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'SRC', 'FGFR2', 'CRK', 'HGF', 'ITK', 'SOS1', 'FYN', 'LYN', 'EGFR', 'CD44', 'HRAS', 'VAV1', 'SYK', 'RAF1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'SMAD3', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
69	REAC	REAC:R-HSA-5654741	Signaling by FGFR3	2.534360502878595e-12	True	Signaling by FGFR3	31	101	10	10022	0.099009900990099	0.3225806451612903	query_1	['REAC:R-HSA-190236']	['PIK3R1', 'MAPK1', 'MAPK3', 'SOS1', 'BRAF', 'PIK3CA', 'HRAS', 'PLCG1', 'PTPN11', 'CBL']
237	GO:BP	GO:0048762	mesenchymal cell differentiation	3.0180408887753e-12	True	"""The process in which a relatively unspecialized cell acquires specialized features of a mesenchymal cell. A mesenchymal cell is a loosely associated cell that is part of the connective tissue in an organism. Mesenchymal cells give rise to more mature connective tissue cell types."" [GOC:dph, GOC:jid]"	234	103	17	15719	0.1650485436893204	0.0726495726495726	query_1	['GO:0030154', 'GO:0060485']	['FN1', 'SMAD7', 'FGFR2', 'TGFB3', 'MAPK1', 'HGF', 'CTNNB1', 'MAPK3', 'TGFBR2', 'TGFB1', 'NRP2', 'TGFBR1', 'PTK2', 'NRP1', 'SMAD3', 'ADAM15', 'SEMA4D']
70	REAC	REAC:R-HSA-373760	L1CAM interactions	3.4759042758585414e-12	True	L1CAM interactions	114	101	15	10022	0.1485148514851485	0.131578947368421	query_1	['REAC:R-HSA-422475']	['ITGB1', 'ITGA9', 'ITGAV', 'ITGB3', 'MAPK1', 'MAPK3', 'ITGA2B', 'ITGA5', 'NRP2', 'MAP2K1', 'EGFR', 'SH3GL2', 'L1CAM', 'NRP1', 'MAP2K2']
238	GO:BP	GO:0043434	response to peptide hormone	3.529711119205877e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]"	412	103	21	15719	0.203883495145631	0.0509708737864077	query_1	['GO:0009725', 'GO:1901652']	['NCK1', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'MAPK1', 'CRK', 'SHC1', 'MAPK3', 'SOS1', 'PXN', 'LYN', 'GRB2', 'TGFB1', 'PIK3CA', 'HRAS', 'RAF1', 'PIK3R3', 'PTK2', 'PTPN11']
71	REAC	REAC:R-HSA-1257604	PIP3 activates AKT signaling	4.0320572591271195e-12	True	PIP3 activates AKT signaling	249	101	20	10022	0.198019801980198	0.0803212851405622	query_1	['REAC:R-HSA-9006925']	['MET', 'PIK3CB', 'PIK3R2', 'SRC', 'PIK3R1', 'MAPK1', 'HGF', 'MAPK3', 'PIK3CD', 'FYN', 'LAMTOR3', 'EGFR', 'PIK3CA', 'VAV1', 'ERBB2', 'PIK3R3', 'LAMTOR2', 'LCK', 'PTPN11', 'PDGFRA']
16	GO:CC	GO:0098552	side of membrane	4.184515955918292e-12	True	"""A cellular component consisting of one leaflet of a membrane bilayer and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos]"	593	103	24	16420	0.233009708737864	0.0404721753794266	query_1	['GO:0016020', 'GO:0110165']	['ITGB1', 'ITGA9', 'ITGAV', 'SRC', 'ITGB3', 'TGFBR2', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'ZAP70', 'LYN', 'KDR', 'ITGAE', 'SYK', 'FCGR1A', 'CDH1', 'PTK2B', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'MAP2K2', 'PDGFRA']
239	GO:BP	GO:0001558	regulation of cell growth	4.240237505998592e-12	True	"""Any process that modulates the frequency, rate, extent or direction of cell growth."" [GOC:go_curators]"	416	103	21	15719	0.203883495145631	0.0504807692307692	query_1	['GO:0016049', 'GO:0040008', 'GO:0051128']	['FN1', 'BCAR1', 'SPP1', 'SMAD7', 'CRK', 'TGFB1', 'TNC', 'EGFR', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'LAMTOR2', 'TGFBR1', 'L1CAM', 'NRP1', 'SMAD3', 'ADAM15', 'SEMA4D']
17	GO:CC	GO:0009986	cell surface	4.2662506273358796e-12	True	"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]"	850	103	28	16420	0.2718446601941747	0.0329411764705882	query_1	['GO:0110165']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'FGFR2', 'ITGB3', 'TGFB3', 'TGFBR2', 'ITGA2B', 'ITGA5', 'ITGA4', 'TGFB1', 'EGFR', 'CD44', 'KDR', 'ITGAE', 'HSP90AA1', 'FCGR1A', 'VEGFA', 'TLN1', 'TGFBR1', 'VCAM1', 'L1CAM', 'ITGB6', 'ITGB7', 'ADAM15', 'PDGFRA']
240	GO:BP	GO:0030098	lymphocyte differentiation	4.4239590503047655e-12	True	"""The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [CL:0000542, GOC:go_curators]"	417	103	21	15719	0.203883495145631	0.0503597122302158	query_1	['GO:0046649', 'GO:1903131']	['ITGB1', 'PIK3R2', 'SMAD7', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA4', 'ZAP70', 'TGFB1', 'BRAF', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'PIK3R3', 'VCAM1', 'LCK']
72	REAC	REAC:R-HSA-1227986	Signaling by ERBB2	4.541207798336903e-12	True	Signaling by ERBB2	45	101	11	10022	0.1089108910891089	0.2444444444444444	query_1	['REAC:R-HSA-9006934']	['SRC', 'PIK3R1', 'SHC1', 'SOS1', 'FYN', 'EGFR', 'PIK3CA', 'HSP90AA1', 'HRAS', 'PLCG1', 'ERBB2']
73	REAC	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	4.578867568369488e-12	True	p130Cas linkage to MAPK signaling for integrins	15	101	8	10022	0.0792079207920792	0.5333333333333333	query_1	['REAC:R-HSA-354192']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'ITGA2B', 'TLN1', 'PTK2']
241	GO:BP	GO:1990138	neuron projection extension	4.732461023876597e-12	True	"""Long distance growth of a single neuron projection involved in cellular development. A neuron projection is a prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:BHF, GOC:rl, PMID:22790009]"	169	103	15	15719	0.145631067961165	0.0887573964497041	query_1	['GO:0048588', 'GO:0048812', 'GO:0060560']	['ITGB1', 'FN1', 'CTNNB1', 'ITGA4', 'NRP2', 'HSP90AA1', 'VCL', 'SMURF1', 'CDH1', 'VEGFA', 'SH3GL2', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
74	REAC	REAC:R-HSA-2871796	FCERI mediated MAPK activation	4.855215312190093e-12	True	FCERI mediated MAPK activation	33	101	10	10022	0.099009900990099	0.303030303030303	query_1	['REAC:R-HSA-2454202']	['MAPK1', 'PLCG2', 'MAPK3', 'SOS1', 'LYN', 'LCP2', 'HRAS', 'VAV1', 'SYK', 'PLCG1']
242	GO:BP	GO:0034446	substrate adhesion-dependent cell spreading	4.893150687897248e-12	True	"""The morphogenetic process that results in flattening of a cell as a consequence of its adhesion to a substrate."" [GOC:mah, GOC:pf, PMID:17050732]"	110	103	13	15719	0.1262135922330097	0.1181818181818181	query_1	['GO:0031589']	['ITGAV', 'FN1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PXN', 'ITGA4', 'BRAF', 'CRKL', 'PTK2', 'NRP1', 'ITGB7']
75	REAC	REAC:R-HSA-1643713	Signaling by EGFR in Cancer	4.960621621870098e-12	True	Signaling by EGFR in Cancer	23	101	9	10022	0.0891089108910891	0.391304347826087	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'HSP90AA1', 'HRAS', 'PLCG1', 'CBL']
243	GO:BP	GO:0071560	cellular response to transforming growth factor beta stimulus	5.101094573293154e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:ecd, PMID:15451575]"	242	103	17	15719	0.1650485436893204	0.0702479338842975	query_1	['GO:0071363', 'GO:0071559']	['SMURF2', 'ITGB5', 'SRC', 'SMAD7', 'FGFR2', 'TGFB3', 'CRK', 'TGFBR2', 'PXN', 'FYN', 'TGFB1', 'SMURF1', 'CRKL', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3']
244	GO:BP	GO:0048009	insulin-like growth factor receptor signaling pathway	5.135197928899147e-12	True	"""The series of molecular signals initiated by a ligand binding to an insulin-like growth factor receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	46	103	10	15719	0.0970873786407767	0.217391304347826	query_1	['GO:0007169']	['PIK3R1', 'MAPK1', 'SHC1', 'MAPK3', 'SOS1', 'GRB2', 'MAP2K1', 'PIK3CA', 'RAF1', 'MAP2K2']
245	GO:BP	GO:0060255	regulation of macromolecule metabolic process	5.26781257426694e-12	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	5751	103	74	15719	0.7184466019417476	0.012867327421318	query_1	['GO:0019222', 'GO:0043170']	['MET', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'KSR1', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'LAT', 'ADAM19', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'HSP90AA1', 'HRAS', 'SYK', 'FCGR1A', 'RAF1', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
76	REAC	REAC:R-HSA-9006936	Signaling by TGFB family members	5.384697612466351e-12	True	Signaling by TGFB family members	118	101	15	10022	0.1485148514851485	0.1271186440677966	query_1	['REAC:R-HSA-162582']	['ITGB1', 'SMURF2', 'ITGB5', 'ITGAV', 'SMAD7', 'ITGB3', 'TGFB3', 'MAPK1', 'MAPK3', 'TGFBR2', 'SMURF1', 'TGFBR1', 'ITGB6', 'SMAD3', 'CBL']
246	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	5.539910753500514e-12	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1592	103	38	15719	0.3689320388349514	0.0238693467336683	query_1	['GO:0008150']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'FGFR2', 'ITGB3', 'MAPK1', 'CRK', 'SHC1', 'PLCG2', 'MAPK3', 'PIK3CD', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'TGFB1', 'EGFR', 'HSP90AA1', 'HRAS', 'VAV1', 'SYK', 'FCGR1A', 'CDH1', 'PTK2B', 'VEGFD', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL']
77	REAC	REAC:R-HSA-9006925	Intracellular signaling by second messengers	5.953157445471766e-12	True	Intracellular signaling by second messengers	288	101	21	10022	0.2079207920792079	0.0729166666666666	query_1	['REAC:R-HSA-162582']	['MET', 'PIK3CB', 'PIK3R2', 'SRC', 'PIK3R1', 'MAPK1', 'HGF', 'MAPK3', 'PIK3CD', 'FYN', 'LAMTOR3', 'EGFR', 'PIK3CA', 'VAV1', 'PLCG1', 'ERBB2', 'PIK3R3', 'LAMTOR2', 'LCK', 'PTPN11', 'PDGFRA']
78	REAC	REAC:R-HSA-5654743	Signaling by FGFR4	6.3950257899834136e-12	True	Signaling by FGFR4	34	101	10	10022	0.099009900990099	0.2941176470588235	query_1	['REAC:R-HSA-190236']	['PIK3R1', 'MAPK1', 'MAPK3', 'SOS1', 'BRAF', 'PIK3CA', 'HRAS', 'PLCG1', 'PTPN11', 'CBL']
79	REAC	REAC:R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	6.3950257899834136e-12	True	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	34	101	10	10022	0.099009900990099	0.2941176470588235	query_1	['REAC:R-HSA-983705']	['NCK1', 'PIK3R1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'VAV1', 'SYK', 'SH3KBP1']
247	GO:BP	GO:0071559	response to transforming growth factor beta	7.480923699707685e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:mah]"	248	103	17	15719	0.1650485436893204	0.0685483870967741	query_1	['GO:0070848']	['SMURF2', 'ITGB5', 'SRC', 'SMAD7', 'FGFR2', 'TGFB3', 'CRK', 'TGFBR2', 'PXN', 'FYN', 'TGFB1', 'SMURF1', 'CRKL', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3']
248	GO:BP	GO:0001952	regulation of cell-matrix adhesion	7.639072109076874e-12	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to the extracellular matrix."" [GOC:hjd]"	114	103	13	15719	0.1262135922330097	0.1140350877192982	query_1	['GO:0007160', 'GO:0010810']	['PIK3CB', 'SRC', 'ITGB3', 'PIK3R1', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'TLN1', 'PTK2', 'NRP1', 'SMAD3', 'ADAM15']
249	GO:BP	GO:0060440	trachea formation	7.650204370212702e-12	True	"""The process pertaining to the initial formation of a trachea from unspecified parts. The process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the trachea is recognizable. The trachea is the portion of the airway that attaches to the bronchi as it branches."" [GOC:dph]"	7	103	6	15719	0.058252427184466	0.8571428571428571	query_1	['GO:0048645', 'GO:0060439']	['MAPK1', 'CTNNB1', 'MAPK3', 'TGFBR2', 'MAP2K1', 'MAP2K2']
250	GO:BP	GO:0010975	regulation of neuron projection development	7.694396865405386e-12	True	"""Any process that modulates the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:dph, GOC:tb]"	430	103	21	15719	0.203883495145631	0.0488372093023255	query_1	['GO:0031175', 'GO:0120035']	['RAPGEF1', 'NCK1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'FYN', 'LYN', 'BRAF', 'MAP2K1', 'SMURF1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'L1CAM', 'NRP1', 'MAP2K2', 'SEMA4D', 'PLXNA1']
80	REAC	REAC:R-HSA-5674499	Negative feedback regulation of MAPK pathway	7.738363695652324e-12	True	Negative feedback regulation of MAPK pathway	6	101	6	10022	0.0594059405940594	1.0	query_1	['REAC:R-HSA-5675221']	['MAPK1', 'MAPK3', 'BRAF', 'MAP2K1', 'RAF1', 'MAP2K2']
81	REAC	REAC:R-HSA-210993	Tie2 Signaling	8.196081938224462e-12	True	Tie2 Signaling	16	101	8	10022	0.0792079207920792	0.5	query_1	['REAC:R-HSA-202733']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SHC1', 'SOS1', 'PIK3CA', 'HRAS', 'PTPN11']
83	REAC	REAC:R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	8.285553411713575e-12	True	Signaling by PDGFRA extracellular domain mutants	10	101	7	10022	0.0693069306930693	0.7	query_1	['REAC:R-HSA-9671555']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'HRAS', 'PDGFRA']
82	REAC	REAC:R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	8.285553411713575e-12	True	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	10	101	7	10022	0.0693069306930693	0.7	query_1	['REAC:R-HSA-9671555']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'HRAS', 'PDGFRA']
251	GO:BP	GO:0032103	positive regulation of response to external stimulus	8.810177726434006e-12	True	"""Any process that activates, maintains or increases the rate of a response to an external stimulus."" [GOC:mah]"	540	103	23	15719	0.2233009708737864	0.0425925925925925	query_1	['GO:0009605', 'GO:0032101', 'GO:0048584']	['MET', 'VEGFB', 'SRC', 'MAPK1', 'VEGFC', 'PLCG2', 'MAPK3', 'FYN', 'LYN', 'BRAF', 'KDR', 'HSP90AA1', 'VAV1', 'SYK', 'FCGR1A', 'PTK2B', 'VEGFA', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'SMAD3', 'PGF']
252	GO:BP	GO:0002040	sprouting angiogenesis	9.444721829081667e-12	True	"""The extension of new blood vessels from existing vessels into avascular tissues, this process includes the specialization of endothelial cells into leading tip and stalk cells, proliferation and migration of the endothelial cells and cell adhesion resulting in angiogenic sprout fusion or lumen formation."" [PMID:16391003, PMID:23031691]"	116	103	13	15719	0.1262135922330097	0.1120689655172413	query_1	['GO:0001525']	['ITGB1', 'PIK3CB', 'VEGFB', 'VEGFC', 'FLT4', 'ITGA5', 'KDR', 'PTK2B', 'VEGFA', 'PIK3R3', 'VEGFD', 'NRP1', 'PGF']
253	GO:BP	GO:0060324	face development	9.82518021375586e-12	True	"""The biological process whose specific outcome is the progression of a face from an initial condition to its mature state. The face is the ventral division of the head."" [GOC:dph]"	49	103	10	15719	0.0970873786407767	0.2040816326530612	query_1	['GO:0048856', 'GO:0060322']	['TGFB3', 'MAPK1', 'MAPK3', 'TGFB1', 'BRAF', 'MAP2K1', 'RAF1', 'MAP2K2', 'PTPN11', 'PDGFRA']
254	GO:BP	GO:0002687	positive regulation of leukocyte migration	1.1116029696119707e-11	True	"""Any process that activates or increases the frequency, rate, or extent of leukocyte migration."" [GOC:add]"	147	103	14	15719	0.1359223300970873	0.0952380952380952	query_1	['GO:0002684', 'GO:0002685', 'GO:0030335', 'GO:0050900']	['VEGFB', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'MAPK3', 'ITGA4', 'MADCAM1', 'TGFB1', 'PTK2B', 'VEGFA', 'VEGFD', 'PTK2', 'PGF']
255	GO:BP	GO:0034329	cell junction assembly	1.1856951538138264e-11	True	"""A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction."" [GOC:mah]"	390	103	20	15719	0.1941747572815534	0.0512820512820512	query_1	['GO:0022607', 'GO:0034330']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'CRK', 'CTNNB1', 'ITGA5', 'KDR', 'VCL', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'TLN1', 'PTK2', 'NRP1', 'SMAD3', 'SEMA4D']
256	GO:BP	GO:0050920	regulation of chemotaxis	1.2168462356583572e-11	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a motile cell or organism in response to a specific chemical concentration gradient."" [GOC:ai]"	217	103	16	15719	0.1553398058252427	0.0737327188940092	query_1	['GO:0006935', 'GO:0032101', 'GO:0040012']	['MET', 'VEGFB', 'MAPK1', 'VEGFC', 'MAPK3', 'LYN', 'KDR', 'PTK2B', 'VEGFA', 'VEGFD', 'PTK2', 'NRP1', 'SMAD3', 'PDGFRA', 'SEMA4D', 'PGF']
