Pseudoxanthoma elasticum	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
9	REAC	REAC:R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	1.1138061191565934e-18	True	Intra-Golgi and retrograde Golgi-to-ER traffic	199	86	23	10022	0.2674418604651162	0.1155778894472361	query_1	['REAC:R-HSA-199991']	['GOSR1', 'VTI1A', 'PLIN3', 'M6PR', 'GOSR2', 'VPS52', 'RABEPK', 'STX6', 'VPS54', 'STX10', 'VAMP4', 'GCC2', 'IGF2R', 'VPS53', 'RAB9A', 'VAMP3', 'SEC22B', 'NSF', 'STX16', 'SNAP29', 'VPS51', 'NAPA', 'STX5']
45	GO:CC	GO:0048471	perinuclear region of cytoplasm	2.1242622169954024e-18	True	"""Cytoplasm situated near, or occurring around, the nucleus."" [GOC:jid]"	717	102	32	16420	0.3137254901960784	0.0446304044630404	query_1	['GO:0005737', 'GO:0110165']	['APBA3', 'MLF1', 'VTI1B', 'VTI1A', 'HSP90AB1', 'PICALM', 'M6PR', 'VPS52', 'VAMP2', 'STX7', 'STX6', 'VPS54', 'STX10', 'SYNRG', 'AP1G1', 'EGFR', 'VPS50', 'DNM2', 'STX4', 'SNAP25', 'IGF2R', 'HEATR5B', 'VPS53', 'VAMP3', 'STXBP1', 'HSPA8', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'STX8', 'RAB3A']
44	GO:CC	GO:0031984	organelle subcompartment	2.1242622169954024e-18	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]"	1388	102	42	16420	0.4117647058823529	0.0302593659942363	query_1	['GO:0043227', 'GO:0043229', 'GO:0110165']	['VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'RABEPK', 'STX6', 'VPS54', 'AP1S1', 'TOR1A', 'AP1M2', 'STX10', 'AP1G1', 'VAMP4', 'ABCC6', 'EGFR', 'DNM2', 'STX4', 'GCC2', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'NSF', 'AFTPH', 'STX16', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'STX5']
46	GO:CC	GO:0030660	Golgi-associated vesicle membrane	2.46970558959043e-18	True	"""The lipid bilayer surrounding a vesicle associated with the Golgi apparatus."" [GOC:mah]"	57	102	14	16420	0.1372549019607843	0.2456140350877192	query_1	['GO:0005798', 'GO:0030659', 'GO:0098588']	['AP1G2', 'AP1B1', 'CLTC', 'AP1S1', 'AP1M2', 'AP2A2', 'SYNRG', 'AP1G1', 'SLC18A3', 'AP2A1', 'AP1S3', 'AP1S2', 'AP1M1', 'AFTPH']
47	GO:CC	GO:0005773	vacuole	5.3003170827105795e-18	True	"""A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."" [GOC:mtg_sensu, ISBN:0198506732]"	800	102	33	16420	0.3235294117647059	0.04125	query_1	['GO:0005737', 'GO:0043231']	['VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'M6PR', 'CLTC', 'STX7', 'AP2M1', 'AP2B1', 'AP1S1', 'AP2S1', 'AP1M2', 'STX3', 'AP2A2', 'AP1G1', 'VAMP4', 'AP2A1', 'STX4', 'ENPP1', 'AP1S3', 'SNAP23', 'LITAF', 'RAB9A', 'AP1S2', 'AP1M1', 'HSPA8', 'NSF', 'VAMP8', 'SNAP29', 'STX8', 'RAB3A']
41	GO:BP	GO:0051640	organelle localization	5.94072998539535e-18	True	"""Any process in which an organelle is transported to, and/or maintained in, a specific location."" [GOC:ai]"	565	102	30	15719	0.2941176470588235	0.0530973451327433	query_1	['GO:0051179']	['VAMP7', 'VTI1B', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STX7', 'RABEPK', 'AP1AR', 'STX1A', 'STX6', 'TOR1A', 'AP1M2', 'STX10', 'STX3', 'STAM', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'VAMP3', 'STX12', 'STXBP1', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
10	REAC	REAC:R-HSA-432722	Golgi Associated Vesicle Biogenesis	5.994597368716422e-18	True	Golgi Associated Vesicle Biogenesis	54	86	15	10022	0.1744186046511628	0.2777777777777778	query_1	['REAC:R-HSA-199992']	['VAMP7', 'AP1B1', 'PICALM', 'VAMP2', 'AP1S1', 'AP1M2', 'AP1G1', 'DNM2', 'IGF2R', 'AP1S3', 'AP1S2', 'AP1M1', 'HSPA8', 'VAMP8', 'NAPA']
42	GO:BP	GO:0060627	regulation of vesicle-mediated transport	6.6548145107947434e-18	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	519	102	29	15719	0.284313725490196	0.0558766859344894	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['VAMP7', 'SYT2', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'VAMP2', 'AP2M1', 'STX1A', 'SLC17A7', 'TOR1A', 'AP2S1', 'STAM', 'AP1G1', 'VAMP4', 'STXBP5', 'DNM2', 'STX1B', 'STX4', 'SYT9', 'RAB9A', 'STXBP1', 'LGI3', 'NSF', 'NUMB', 'STON2', 'VAMP8', 'EIPR1', 'RAB3A']
48	GO:CC	GO:0098852	lytic vacuole membrane	9.898584765234753e-18	True	"""The lipid bilayer surrounding a lytic vacuole and separating its contents from the cytoplasm of the cell."" [GOC:dos]"	396	102	25	16420	0.2450980392156862	0.0631313131313131	query_1	['GO:0000323', 'GO:0005774']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'M6PR', 'CLTC', 'STX7', 'AP2M1', 'AP2B1', 'AP1S1', 'AP2S1', 'AP1M2', 'AP2A2', 'AP1G1', 'AP2A1', 'ENPP1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'NSF', 'VAMP8', 'SNAP29', 'STX8']
49	GO:CC	GO:0005765	lysosomal membrane	9.898584765234753e-18	True	"""The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm."" [GOC:ai]"	396	102	25	16420	0.2450980392156862	0.0631313131313131	query_1	['GO:0005764', 'GO:0098852']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'M6PR', 'CLTC', 'STX7', 'AP2M1', 'AP2B1', 'AP1S1', 'AP2S1', 'AP1M2', 'AP2A2', 'AP1G1', 'AP2A1', 'ENPP1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'NSF', 'VAMP8', 'SNAP29', 'STX8']
43	GO:BP	GO:0046903	secretion	1.0322475228269184e-17	True	"""The controlled release of a substance by a cell or a tissue."" [GOC:ai]"	915	102	36	15719	0.3529411764705882	0.0393442622950819	query_1	['GO:0006810']	['VAMP7', 'AP1B1', 'VTI1B', 'SYT2', 'CHMP2A', 'SYT1', 'HGS', 'M6PR', 'VAMP2', 'RABEPK', 'STX1A', 'AP1S1', 'AP1M2', 'STX3', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'SNAP23', 'RAB9A', 'TXLNA', 'VAMP3', 'STXBP1', 'LGI3', 'SNAP47', 'NSF', 'VAMP8', 'SNAP29', 'EIPR1', 'FURIN', 'NAPA', 'RAB3A']
50	GO:CC	GO:0000323	lytic vacuole	1.4626152736111596e-17	True	"""A vacuole that is maintained at an acidic pH and which contains degradative enzymes, including a wide variety of acid hydrolases."" [GOC:krc]"	710	102	31	16420	0.3039215686274509	0.0436619718309859	query_1	['GO:0005773']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'HGS', 'M6PR', 'CLTC', 'STX7', 'AP2M1', 'AP2B1', 'AP1S1', 'AP2S1', 'AP1M2', 'STX3', 'AP2A2', 'AP1G1', 'VAMP4', 'AP2A1', 'ENPP1', 'AP1S3', 'SNAP23', 'LITAF', 'RAB9A', 'AP1S2', 'AP1M1', 'HSPA8', 'NSF', 'VAMP8', 'SNAP29', 'STX8', 'RAB3A']
51	GO:CC	GO:0005764	lysosome	1.4626152736111596e-17	True	"""A small lytic vacuole that has cell cycle-independent morphology found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions."" [GOC:mah, ISBN:0198506732]"	710	102	31	16420	0.3039215686274509	0.0436619718309859	query_1	['GO:0000323']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'HGS', 'M6PR', 'CLTC', 'STX7', 'AP2M1', 'AP2B1', 'AP1S1', 'AP2S1', 'AP1M2', 'STX3', 'AP2A2', 'AP1G1', 'VAMP4', 'AP2A1', 'ENPP1', 'AP1S3', 'SNAP23', 'LITAF', 'RAB9A', 'AP1S2', 'AP1M1', 'HSPA8', 'NSF', 'VAMP8', 'SNAP29', 'STX8', 'RAB3A']
44	GO:BP	GO:0016079	synaptic vesicle exocytosis	6.050068720256492e-17	True	"""Fusion of intracellular membrane-bounded vesicles with the pre-synaptic membrane of the neuronal cell resulting in release of neurotransmitter into the synaptic cleft."" [GOC:jid, GOC:lmg]"	96	102	16	15719	0.1568627450980392	0.1666666666666666	query_1	['GO:0007269', 'GO:0045055', 'GO:0051649', 'GO:0099003', 'GO:0099504', 'GO:0099643']	['SYT2', 'SYT1', 'VAMP2', 'STX1A', 'STX3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
45	GO:BP	GO:0036465	synaptic vesicle recycling	7.676376416577002e-17	True	"""The trafficking of synaptic vesicles from the pre-synaptic membrane so the vesicle can dock and prime for another round of exocytosis and neurotransmitter release. Recycling occurs after synaptic vesicle exocytosis, and is necessary to replenish presynaptic vesicle pools, sustain transmitter release and preserve the structural integrity of the presynaptic membrane. Recycling can occur following transient fusion with the presynaptic membrane (kiss and run), or via endocytosis of presynaptic membrane."" [GOC:bf, GOC:pad, GOC:PARL, PMID:15217342, PMID:22026965, PMID:23245563]"	78	102	15	15719	0.1470588235294117	0.1923076923076923	query_1	['GO:0006810', 'GO:0051649', 'GO:0099504']	['SYT2', 'SYT1', 'PICALM', 'VAMP2', 'AP2M1', 'AP2B1', 'STX1A', 'SLC17A7', 'TOR1A', 'AP2S1', 'VAMP4', 'DNM2', 'STX1B', 'STON2', 'RAB3A']
52	GO:CC	GO:0005737	cytoplasm	9.237222807564291e-17	True	"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]"	11233	102	102	16420	1.0	0.0090803881420813	query_1	['GO:0005622', 'GO:0110165']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'MLF1', 'VTI1B', 'VTI1A', 'SYT2', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'PLIN3', 'HGS', 'HSP90AB1', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'ACADL', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'AP1AR', 'STX1A', 'EPN1', 'STX6', 'VPS54', 'REPS2', 'SH3BP1', 'PACS1', 'CRYL1', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'TTC4', 'AP2A2', 'SYNRG', 'STAM', 'ZFAND5', 'AP1G1', 'GRB2', 'SLC18A3', 'VAMP4', 'EPS15', 'ABCC6', 'STXBP5', 'EGFR', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'GCC2', 'SNAP25', 'IGF2R', 'SYT9', 'ENPP1', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'WDR37', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'TXLNA', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'LGI3', 'SNAP47', 'NSF', 'AFTPH', 'NUMB', 'STON2', 'A1BG', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
53	GO:CC	GO:0005774	vacuolar membrane	9.587256004848512e-17	True	"""The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell."" [GOC:ai]"	437	102	25	16420	0.2450980392156862	0.05720823798627	query_1	['GO:0005773', 'GO:0098588']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'M6PR', 'CLTC', 'STX7', 'AP2M1', 'AP2B1', 'AP1S1', 'AP2S1', 'AP1M2', 'AP2A2', 'AP1G1', 'AP2A1', 'ENPP1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'NSF', 'VAMP8', 'SNAP29', 'STX8']
54	GO:CC	GO:0030054	cell junction	1.0908794783917176e-16	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2080	102	48	16420	0.4705882352941176	0.023076923076923	query_1	['GO:0110165']	['VAMP7', 'APBA3', 'VTI1B', 'VTI1A', 'SYT2', 'SYT1', 'PICALM', 'CLTC', 'VAMP2', 'STX7', 'AP2M1', 'AP2B1', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'SLC17A7', 'TOR1A', 'AP2S1', 'STX10', 'STX3', 'AP2A2', 'GRB2', 'SLC18A3', 'STXBP5', 'EGFR', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'SNAP25', 'IGF2R', 'SYT9', 'SNAP23', 'VAMP1', 'VAMP3', 'STX12', 'STXBP1', 'HSPA8', 'LGI3', 'SNAP47', 'NSF', 'NUMB', 'STON2', 'STX16', 'SNAP29', 'NAPA', 'RAB3A']
55	GO:CC	GO:0005769	early endosome	1.29178476692105e-16	True	"""A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."" [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]"	397	102	24	16420	0.2352941176470588	0.0604534005037783	query_1	['GO:0005768']	['AP1B1', 'VTI1B', 'STAMBP', 'HGS', 'PICALM', 'STAM2', 'STX7', 'AP1AR', 'STX6', 'AP1S1', 'STAM', 'AP1G1', 'EPS15', 'EGFR', 'IGF2R', 'AP1S3', 'LITAF', 'AP1S2', 'VAMP3', 'AP1M1', 'STX12', 'NUMB', 'VAMP8', 'STX8']
46	GO:BP	GO:0007034	vacuolar transport	3.6805831230618094e-16	True	"""The directed movement of substances into, out of or within a vacuole."" [GOC:ai]"	157	102	18	15719	0.1764705882352941	0.1146496815286624	query_1	['GO:0046907']	['AP1G2', 'VAMP7', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'M6PR', 'VPS52', 'VPS54', 'STAM', 'AP1G1', 'GCC2', 'IGF2R', 'VPS53', 'HSPA8', 'STX8', 'VPS51']
47	GO:BP	GO:0016082	synaptic vesicle priming	6.637143095148669e-16	True	"""A process that converts synaptic vesicles to a state of competence for calcium triggered fusion with the active zone membrane by bringing the two membranes into very close proximity. Priming typically (but not always) occurs after docking (Jahn and Fasshauer, 2012). Primed vesicles are also capable of spontaneously fusing with the active zone membrane."" [GOC:mah, PMID:15217342, PMID:23060190]"	20	102	10	15719	0.0980392156862745	0.5	query_1	['GO:0016079', 'GO:0065003', 'GO:0140029']	['STX1A', 'STXBP5', 'STX1B', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
56	GO:CC	GO:0030132	clathrin coat of coated pit	6.915449818561492e-16	True	"""The coat found on coated pits and the coated vesicles derived from coated pits; comprises clathrin and the AP-2 adaptor complex."" [GOC:mah]"	16	102	9	16420	0.088235294117647	0.5625	query_1	['GO:0005905', 'GO:0030118', 'GO:0098797']	['PICALM', 'CLTC', 'AP2M1', 'AP2B1', 'AP2S1', 'AP2A2', 'SLC18A3', 'EPS15', 'AP2A1']
48	GO:BP	GO:0006836	neurotransmitter transport	7.322545014570096e-16	True	"""The directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell."" [GOC:ai]"	193	102	19	15719	0.1862745098039215	0.0984455958549222	query_1	['GO:0006810']	['SYT2', 'SYT1', 'VAMP2', 'STX1A', 'SLC17A7', 'TOR1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
49	GO:BP	GO:0099643	signal release from synapse	7.595155229580084e-16	True	"""Any signal release from a synapse."" [GOC:dos]"	137	102	17	15719	0.1666666666666666	0.1240875912408759	query_1	['GO:0023061', 'GO:0099536']	['SYT2', 'SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
50	GO:BP	GO:0007269	neurotransmitter secretion	7.595155229580084e-16	True	"""The regulated release of neurotransmitter from the presynapse into the synaptic cleft via calcium-regulated exocytosis during synaptic transmission."" [GOC:dph]"	137	102	17	15719	0.1666666666666666	0.1240875912408759	query_1	['GO:0001505', 'GO:0006836', 'GO:0007268', 'GO:0051649', 'GO:0099643']	['SYT2', 'SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
51	GO:BP	GO:0045055	regulated exocytosis	8.141504347424477e-16	True	"""A process of exocytosis in which soluble proteins and other substances are initially stored in secretory vesicles for later release. It is found mainly in cells that are specialized for secreting products such as hormones, neurotransmitters, or digestive enzymes rapidly on demand."" [GOC:mah, ISBN:0716731363]"	227	102	20	15719	0.196078431372549	0.0881057268722467	query_1	['GO:0006887']	['VAMP7', 'SYT2', 'SYT1', 'VAMP2', 'STX1A', 'STX3', 'AP1G1', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'SNAP23', 'VAMP3', 'STXBP1', 'SNAP47', 'VAMP8', 'SNAP29', 'NAPA', 'RAB3A']
52	GO:BP	GO:0017157	regulation of exocytosis	9.98566167199464e-16	True	"""Any process that modulates the frequency, rate or extent of exocytosis."" [GOC:go_curators]"	197	102	19	15719	0.1862745098039215	0.0964467005076142	query_1	['GO:0006887', 'GO:0060627', 'GO:1903530']	['VAMP7', 'SYT2', 'CHMP2A', 'SYT1', 'HGS', 'VAMP2', 'STX1A', 'STAM', 'AP1G1', 'STXBP5', 'STX1B', 'STX4', 'SYT9', 'RAB9A', 'STXBP1', 'LGI3', 'NSF', 'VAMP8', 'RAB3A']
11	REAC	REAC:R-HSA-164940	Nef mediated downregulation of MHC class I complex cell surface expression	5.573672359021157e-15	True	Nef mediated downregulation of MHC class I complex cell surface expression	9	86	8	10022	0.0930232558139534	0.8888888888888888	query_1	['REAC:R-HSA-164938']	['AP1B1', 'PACS1', 'AP1S1', 'AP1M2', 'AP1G1', 'AP1S3', 'AP1S2', 'AP1M1']
53	GO:BP	GO:0045921	positive regulation of exocytosis	8.15486593361058e-15	True	"""Any process that activates or increases the frequency, rate or extent of exocytosis."" [GOC:go_curators]"	84	102	14	15719	0.1372549019607843	0.1666666666666666	query_1	['GO:0006887', 'GO:0017157', 'GO:1903532']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'STX1A', 'STAM', 'AP1G1', 'STXBP5', 'STX4', 'SYT9', 'RAB9A', 'STXBP1', 'VAMP8', 'RAB3A']
54	GO:BP	GO:0048488	synaptic vesicle endocytosis	1.2265204269423922e-14	True	"""A vesicle-mediated transport process, in which the synaptic vesicle membrane constituents are retrieved from the presynaptic membrane on the axon terminal after neurotransmitter secretion by exocytosis. Synaptic vesicle endocytosis can occur via clathrin-dependent and clathrin-independent mechanisms."" [GOC:aruk, GOC:bc, GOC:jid, GOC:lmg, GOC:mah, PMID:20448150, PMID:26430111]"	67	102	13	15719	0.1274509803921568	0.1940298507462686	query_1	['GO:0036465', 'GO:0140238']	['SYT2', 'SYT1', 'PICALM', 'VAMP2', 'AP2M1', 'AP2B1', 'STX1A', 'SLC17A7', 'TOR1A', 'AP2S1', 'VAMP4', 'DNM2', 'STON2']
57	GO:CC	GO:0000139	Golgi membrane	1.2872615440803021e-14	True	"""The lipid bilayer surrounding any of the compartments of the Golgi apparatus."" [GOC:mah]"	596	102	26	16420	0.2549019607843137	0.0436241610738255	query_1	['GO:0005794', 'GO:0098588']	['AP1G2', 'AP1B1', 'GOSR1', 'VTI1A', 'GOSR2', 'STX6', 'AP1S1', 'AP1M2', 'STX10', 'AP1G1', 'VAMP4', 'EGFR', 'DNM2', 'IGF2R', 'AP1S3', 'BET1', 'LITAF', 'RAB9A', 'AP1S2', 'AP1M1', 'SEC22B', 'STX12', 'STX16', 'SNAP29', 'FURIN', 'STX5']
55	GO:BP	GO:0140238	presynaptic endocytosis	1.815792904514666e-14	True	"""A vesicle-mediated transport process in which the presynapse take up external materials or membrane constituents by the invagination of a small region of the plasma membrane to form a new membrane-bounded vesicle."" [PMID:24719103]"	69	102	13	15719	0.1274509803921568	0.1884057971014492	query_1	['GO:0006897', 'GO:0051649', 'GO:0099003']	['SYT2', 'SYT1', 'PICALM', 'VAMP2', 'AP2M1', 'AP2B1', 'STX1A', 'SLC17A7', 'TOR1A', 'AP2S1', 'VAMP4', 'DNM2', 'STON2']
56	GO:BP	GO:0001505	regulation of neurotransmitter levels	3.3824700225153796e-14	True	"""Any process that modulates levels of neurotransmitter."" [GOC:jl]"	204	102	18	15719	0.1764705882352941	0.088235294117647	query_1	['GO:0065008']	['SYT2', 'SYT1', 'VAMP2', 'STX1A', 'TOR1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
57	GO:BP	GO:0032879	regulation of localization	3.858016838222578e-14	True	"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]"	2021	102	46	15719	0.4509803921568627	0.0227610094012864	query_1	['GO:0050789', 'GO:0051179']	['VAMP7', 'VTI1B', 'SYT2', 'CHMP2A', 'SYT1', 'PLIN3', 'HGS', 'HSP90AB1', 'PICALM', 'CLTC', 'VAMP2', 'STX7', 'AP2M1', 'STX1A', 'STX6', 'SLC17A7', 'TOR1A', 'AP2S1', 'STX10', 'STX3', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'EGFR', 'DNM2', 'STX1B', 'STX4', 'GCC2', 'SNAP25', 'SYT9', 'ENPP1', 'RAB9A', 'VAMP3', 'STXBP1', 'HSPA8', 'LGI3', 'NSF', 'NUMB', 'STON2', 'VAMP8', 'EIPR1', 'STX8', 'FURIN', 'RAB3A']
58	GO:CC	GO:0016020	membrane	4.7637984254245404e-14	True	"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]"	8365	102	89	16420	0.8725490196078431	0.0106395696353855	query_1	['GO:0110165']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'CHMP2A', 'SYT1', 'STAMBP', 'PLIN3', 'HGS', 'HSP90AB1', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'ACADL', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'STX1A', 'EPN1', 'STX6', 'VPS54', 'SH3BP1', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'GRB2', 'SLC18A3', 'VAMP4', 'EPS15', 'ABCC6', 'STXBP5', 'EGFR', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'GCC2', 'SNAP25', 'IGF2R', 'SYT9', 'ENPP1', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'TXLNA', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'SNAP47', 'NSF', 'AFTPH', 'NUMB', 'STON2', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'FURIN', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
59	GO:CC	GO:0099501	exocytic vesicle membrane	1.205736201184022e-13	True	"""The lipid bilayer surrounding an exocytic vesicle."" [GOC:dos]"	120	102	14	16420	0.1372549019607843	0.1166666666666666	query_1	['GO:0030658', 'GO:0070382']	['SYT2', 'SYT1', 'VAMP2', 'STX1A', 'STX6', 'SLC17A7', 'STX10', 'SLC18A3', 'SYT9', 'VAMP1', 'STX12', 'SNAP47', 'STX16', 'RAB3A']
60	GO:CC	GO:0030672	synaptic vesicle membrane	1.205736201184022e-13	True	"""The lipid bilayer surrounding a synaptic vesicle."" [GOC:mah]"	120	102	14	16420	0.1372549019607843	0.1166666666666666	query_1	['GO:0008021', 'GO:0099501']	['SYT2', 'SYT1', 'VAMP2', 'STX1A', 'STX6', 'SLC17A7', 'STX10', 'SLC18A3', 'SYT9', 'VAMP1', 'STX12', 'SNAP47', 'STX16', 'RAB3A']
58	GO:BP	GO:0006892	post-Golgi vesicle-mediated transport	1.4643996384651598e-13	True	"""The directed movement of substances from the Golgi to other parts of the cell, including organelles and the plasma membrane, mediated by small transport vesicles."" [GOC:ai, GOC:mah]"	103	102	14	15719	0.1372549019607843	0.1359223300970873	query_1	['GO:0048193']	['AP1G2', 'VTI1B', 'VTI1A', 'VPS52', 'VAMP2', 'AP1AR', 'VPS54', 'AP1G1', 'EPS15', 'DNM2', 'AP2A1', 'SNAP23', 'VAMP3', 'NSF']
