Laron syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
191	GO:BP	GO:0044249	cellular biosynthetic process	3.6250121494378455e-08	True	"""The chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:jl]"	5024	98	60	15719	0.6122448979591837	0.0119426751592356	query_1	['GO:0009058', 'GO:0044237']	['SNX6', 'PDK4', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'TRAF3', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'DLAT', 'RELA', 'IKBKB', 'PDHA2', 'ELOB', 'PDHX', 'PDHB', 'DDRGK1', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'PDHA1', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'ELOC', 'PDK3', 'TRADD', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'IKBKG', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'NFKBIA', 'FBXW7', 'BCL10', 'PRL', 'STAT5B']
192	GO:BP	GO:0032774	RNA biosynthetic process	3.7427013872477283e-08	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3299	98	47	15719	0.4795918367346938	0.014246741436799	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']	['SNX6', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'TRAF3', 'STAT3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'ELOB', 'DDRGK1', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'ELOC', 'TRADD', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'BCL10', 'PRL', 'STAT5B']
194	GO:BP	GO:1901360	organic cyclic compound metabolic process	4.3293835367661785e-08	True	"""The chemical reactions and pathways involving organic cyclic compound."" [GOC:TermGenie]"	5637	98	64	15719	0.6530612244897959	0.0113535568564839	query_1	['GO:0071704']	['SNX6', 'PDK4', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'DLST', 'TRAF3', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'DLAT', 'RELA', 'IKBKB', 'PDHA2', 'ELOB', 'PDHX', 'PDHB', 'DDRGK1', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'PDHA1', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'ELOC', 'PDK3', 'TRADD', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'IKBKG', 'NSUN6', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'NFKBIA', 'FBXW7', 'OGDH', 'BCL10', 'PRL', 'STAT5B', 'PRLR']
193	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	4.3293835367661785e-08	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	98	27	15719	0.2755102040816326	0.0224625623960066	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['CDK5RAP3', 'CREBBP', 'STAT3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'DDRGK1', 'TNF', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'HIF1A', 'RIPK1', 'EPAS1', 'NFKB2', 'EP300', 'ARNT', 'AHR', 'IKBKG', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'NFKBIA', 'STAT5B']
195	GO:BP	GO:0050896	response to stimulus	4.7849392501483997e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7975	98	78	15719	0.7959183673469388	0.0097805642633228	query_1	['GO:0008150']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIB', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'BCKDHB', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'PDK3', 'TRADD', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'ABHD6', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'BCL10', 'PRL', 'CSH2', 'UFM1', 'STAT5B', 'PRLR']
74	REAC	REAC:R-HSA-1234158	Regulation of gene expression by Hypoxia-inducible Factor	4.8912056221728595e-08	True	Regulation of gene expression by Hypoxia-inducible Factor	9	92	5	10022	0.0543478260869565	0.5555555555555556	query_1	['REAC:R-HSA-1234174']	['CREBBP', 'HIF1A', 'EPAS1', 'EP300', 'ARNT']
75	REAC	REAC:R-HSA-983169	Class I MHC mediated antigen processing & presentation	4.894311460945353e-08	True	Class I MHC mediated antigen processing & presentation	378	92	18	10022	0.1956521739130435	0.0476190476190476	query_1	['REAC:R-HSA-1280218']	['CHUK', 'IKBKB', 'ELOB', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'VHL', 'SKP1', 'ELOC', 'FBXW11', 'IKBKG', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7', 'UBA5']
76	REAC	REAC:R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	4.9910071794777295e-08	True	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	66	92	9	10022	0.0978260869565217	0.1363636363636363	query_1	['REAC:R-HSA-1234174']	['EGLN3', 'ELOB', 'RBX1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'ELOC', 'CUL2']
196	GO:BP	GO:0006468	protein phosphorylation	5.0358155914008034e-08	True	"""The process of introducing a phosphate group on to a protein."" [GOC:hb]"	1482	98	30	15719	0.3061224489795918	0.020242914979757	query_1	['GO:0016310', 'GO:0036211']	['SNX6', 'PDK4', 'MAP3K8', 'GSK3B', 'CDK5RAP3', 'MAP3K14', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'DDRGK1', 'TNF', 'FAS', 'BCKDK', 'GH2', 'RIPK1', 'PDK3', 'MALT1', 'PDK1', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'PDK2', 'FBXW7', 'CSH2', 'PRLR']
197	GO:BP	GO:0019752	carboxylic acid metabolic process	5.1088577902566686e-08	True	"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]"	881	98	23	15719	0.2346938775510204	0.0261066969353007	query_1	['GO:0043436']	['PDK4', 'GCSH', 'DLST', 'STAT3', 'TNFRSF1A', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'DBT', 'BCKDK', 'BCKDHB', 'PDHA1', 'HIF1A', 'PDK3', 'EP300', 'PDK1', 'ARNT', 'DLD', 'PDK2', 'ABHD6', 'OGDH', 'BCKDHA']
198	GO:BP	GO:0006511	ubiquitin-dependent protein catabolic process	5.331243623286547e-08	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."" [GOC:go_curators]"	660	98	20	15719	0.2040816326530612	0.0303030303030303	query_1	['GO:0019941']	['SHARPIN', 'GSK3B', 'HSP90AB1', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'VHL', 'SKP1', 'ELOC', 'FBXW11', 'BIRC2', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7']
199	GO:BP	GO:0000209	protein polyubiquitination	5.6857303826667434e-08	True	"""Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain."" [ISBN:0815316194]"	244	98	13	15719	0.1326530612244898	0.0532786885245901	query_1	['GO:0016567']	['SHARPIN', 'TRAF3', 'RBX1', 'RBCK1', 'BTRC', 'RNF31', 'SKP1', 'FBXW11', 'TRAF2', 'TRAF6', 'BIRC2', 'SKP2', 'CUL1']
200	GO:BP	GO:0009894	regulation of catabolic process	6.258858688579365e-08	True	"""Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]"	971	98	24	15719	0.2448979591836734	0.0247167868177136	query_1	['GO:0009056', 'GO:0019222']	['SNX6', 'SNX1', 'GSK3B', 'CDK5RAP3', 'STAT3', 'HSP90AB1', 'TAB2', 'RELA', 'ELOB', 'DDRGK1', 'UFL1', 'RBX1', 'BTRC', 'TNF', 'RNF31', 'EGLN1', 'VHL', 'HIF1A', 'EP300', 'ARNT', 'IKBKG', 'TRAF2', 'MAP3K7', 'FBXW7']
201	GO:BP	GO:0014070	response to organic cyclic compound	6.478163578081612e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus."" [GOC:ef]"	893	98	23	15719	0.2346938775510204	0.0257558790593505	query_1	['GO:0010033']	['GSK3B', 'STAT3', 'DDRGK1', 'UFL1', 'METTL21C', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'BCKDHB', 'CFLAR', 'SOCS2', 'EP300', 'AHR', 'GH1', 'GHR', 'BIRC2', 'NFKBIA', 'SKP2', 'CASP8', 'UBA5', 'UFM1', 'STAT5B']
202	GO:BP	GO:0019941	modification-dependent protein catabolic process	6.752276100258608e-08	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]"	670	98	20	15719	0.2040816326530612	0.0298507462686567	query_1	['GO:0043632', 'GO:0051603']	['SHARPIN', 'GSK3B', 'HSP90AB1', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'VHL', 'SKP1', 'ELOC', 'FBXW11', 'BIRC2', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7']
203	GO:BP	GO:0071375	cellular response to peptide hormone stimulus	6.75863743111147e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [GOC:mah]"	298	98	14	15719	0.1428571428571428	0.046979865771812	query_1	['GO:0032870', 'GO:0043434', 'GO:1901653']	['PDK4', 'GSK3B', 'STAT3', 'RELA', 'NFKB1', 'GH2', 'CFLAR', 'SOCS2', 'GH1', 'GHR', 'STAT5A', 'PDK2', 'CSH2', 'STAT5B']
204	GO:BP	GO:0006954	inflammatory response	7.80630987510756e-08	True	"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]"	749	98	21	15719	0.2142857142857142	0.02803738317757	query_1	['GO:0006952']	['SHARPIN', 'NFKBIB', 'STAT3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'UFL1', 'TNF', 'NFKB1', 'TNIP2', 'HIF1A', 'RIPK1', 'TRADD', 'IKBKG', 'BIRC3', 'RELB', 'REL', 'BIRC2', 'NFKBIA', 'STAT5B']
205	GO:BP	GO:0043436	oxoacid metabolic process	7.846716598066654e-08	True	"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]"	903	98	23	15719	0.2346938775510204	0.0254706533776301	query_1	['GO:0006082']	['PDK4', 'GCSH', 'DLST', 'STAT3', 'TNFRSF1A', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'DBT', 'BCKDK', 'BCKDHB', 'PDHA1', 'HIF1A', 'PDK3', 'EP300', 'PDK1', 'ARNT', 'DLD', 'PDK2', 'ABHD6', 'OGDH', 'BCKDHA']
206	GO:BP	GO:0009057	macromolecule catabolic process	8.05250863481189e-08	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	1330	98	28	15719	0.2857142857142857	0.0210526315789473	query_1	['GO:0043170', 'GO:1901575']	['SHARPIN', 'SNX1', 'GSK3B', 'CDK5RAP3', 'HSP90AB1', 'RELA', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'TNF', 'VHL', 'RIPK1', 'SKP1', 'ELOC', 'MALT1', 'FBXW11', 'TRAF2', 'BIRC2', 'CUL5', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7']
207	GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	8.877335772981491e-08	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	305	98	14	15719	0.1428571428571428	0.0459016393442622	query_1	['GO:0002764', 'GO:0007166']	['CREBBP', 'RELA', 'IKBKB', 'RBCK1', 'RNF31', 'NFKB1', 'TNIP2', 'MALT1', 'EP300', 'IKBKG', 'MAP3K7', 'TRAF6', 'NFKBIA', 'BCL10']
208	GO:BP	GO:0043632	modification-dependent macromolecule catabolic process	8.877335772981491e-08	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, initiated by covalent modification of the target molecule."" [GOC:jl]"	682	98	20	15719	0.2040816326530612	0.0293255131964809	query_1	['GO:0009057']	['SHARPIN', 'GSK3B', 'HSP90AB1', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'VHL', 'SKP1', 'ELOC', 'FBXW11', 'BIRC2', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7']
209	GO:BP	GO:0043085	positive regulation of catalytic activity	9.592332674797645e-08	True	"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	1078	98	25	15719	0.2551020408163265	0.023191094619666	query_1	['GO:0044093', 'GO:0050790']	['EGLN3', 'GSK3B', 'STAT3', 'CASP10', 'HSP90AB1', 'TAB2', 'DDRGK1', 'BTRC', 'TNF', 'FAS', 'FADD', 'HIF1A', 'SKP1', 'CFLAR', 'MALT1', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'CASP8', 'FBXW7', 'BCL10', 'PRLR']
210	GO:BP	GO:0046425	regulation of receptor signaling pathway via JAK-STAT	9.840862309708993e-08	True	"""Any process that modulates the frequency, rate or extent of receptor signaling via JAK-STAT."" [GOC:bf]"	94	98	9	15719	0.0918367346938775	0.0957446808510638	query_1	['GO:0007259', 'GO:1904892']	['TNF', 'VHL', 'GH2', 'SOCS2', 'GH1', 'GHR', 'PRL', 'CSH2', 'PRLR']
25	GO:CC	GO:0031461	cullin-RING ubiquitin ligase complex	1.010195810939283e-07	True	"""Any ubiquitin ligase complex in which the catalytic core consists of a member of the cullin family and a RING domain protein; the core is associated with one or more additional proteins that confer substrate specificity."" [PMID:15571813, PMID:15688063]"	179	99	11	16420	0.1111111111111111	0.0614525139664804	query_1	['GO:0000151']	['ELOB', 'RBX1', 'BTRC', 'SKP1', 'ELOC', 'FBXW11', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7']
211	GO:BP	GO:1990592	protein K69-linked ufmylation	1.014619144092518e-07	True	"""A protein ufmylation process in which a polymer of the ubiquitin-like protein UFM1 is formed by linkages between lysine residues at position 69 of the UFM1 monomers, is added to a protein."" [PMID:25219498]"	5	98	4	15719	0.0408163265306122	0.8	query_1	['GO:1990564']	['DDRGK1', 'UFL1', 'UBA5', 'UFM1']
212	GO:BP	GO:0050812	regulation of acyl-CoA biosynthetic process	1.014619144092518e-07	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of acyl-CoA."" [GOC:ai]"	5	98	4	15719	0.0408163265306122	0.8	query_1	['GO:0019217', 'GO:0034248', 'GO:0042762', 'GO:0071616', 'GO:1900371']	['PDK4', 'PDK3', 'PDK1', 'PDK2']
213	GO:BP	GO:1901698	response to nitrogen compound	1.014619144092518e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	1082	98	25	15719	0.2551020408163265	0.0231053604436229	query_1	['GO:0042221']	['SNX6', 'PDK4', 'GSK3B', 'STAT3', 'RELA', 'OS9', 'UFL1', 'TNF', 'FADD', 'NFKB1', 'EGLN1', 'BCKDHB', 'GH2', 'CFLAR', 'SOCS2', 'AHR', 'GH1', 'TRAF2', 'GHR', 'STAT5A', 'BIRC2', 'PDK2', 'NFKBIA', 'CSH2', 'STAT5B']
214	GO:BP	GO:1990564	protein polyufmylation	1.014619144092518e-07	True	"""Covalent attachment of the ubiquitin-like protein UFM1 to a protein, forming an UFM1 chain."" [PMID:25219498]"	5	98	4	15719	0.0408163265306122	0.8	query_1	['GO:0071569']	['DDRGK1', 'UFL1', 'UBA5', 'UFM1']
215	GO:BP	GO:1901222	regulation of NIK/NF-kappaB signaling	1.159838522006849e-07	True	"""Any process that modulates the frequency, rate or extent of NIK/NF-kappaB signaling."" [GOC:TermGenie]"	96	98	9	15719	0.0918367346938775	0.09375	query_1	['GO:0038061', 'GO:1902531']	['RELA', 'RBCK1', 'TNF', 'TRADD', 'EP300', 'FBXW11', 'TRAF6', 'BIRC2', 'NFKBIA']
217	GO:BP	GO:1901652	response to peptide	1.2200307001259596e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	491	98	17	15719	0.173469387755102	0.0346232179226069	query_1	['GO:0010243', 'GO:1901700']	['SNX6', 'PDK4', 'GSK3B', 'STAT3', 'RELA', 'TNF', 'NFKB1', 'GH2', 'CFLAR', 'SOCS2', 'GH1', 'GHR', 'STAT5A', 'PDK2', 'NFKBIA', 'CSH2', 'STAT5B']
216	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	1.2200307001259596e-07	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	98	23	15719	0.2346938775510204	0.0248112189859762	query_1	['GO:0007166']	['SNX6', 'PDK4', 'GSK3B', 'CREBBP', 'STAT3', 'HSP90AB1', 'GH2', 'HIF1A', 'TRADD', 'SOCS2', 'EP300', 'ARNT', 'TAB1', 'GH1', 'MAP3K7', 'GHR', 'STAT5A', 'PDK2', 'CUL5', 'FBXW7', 'CSH2', 'STAT5B', 'PRLR']
218	GO:BP	GO:0070482	response to oxygen levels	1.3845702355933758e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:BHF, GOC:mah]"	317	98	14	15719	0.1428571428571428	0.0441640378548895	query_1	['GO:0009628']	['EGLN3', 'CREBBP', 'TNF', 'FAS', 'EGLN1', 'VHL', 'HIF1A', 'CFLAR', 'EPAS1', 'PDK3', 'EP300', 'PDK1', 'ARNT', 'BIRC2']
26	GO:CC	GO:0005622	intracellular anatomical structure	1.459295990551382e-07	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	13702	99	99	16420	1.0	0.0072252225952415	query_1	['GO:0110165']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'DLST', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'DLAT', 'RELA', 'IKBKB', 'PDHA2', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'DBT', 'TNF', 'RNF31', 'FAS', 'FADD', 'SIL1', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'BCKDK', 'BCKDHB', 'PDHA1', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'CFLAR', 'EPAS1', 'ELOC', 'PDK3', 'TRADD', 'FLYWCH1', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'NSUN6', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'ABHD6', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'PRL', 'CSH2', 'UFM1', 'STAT5B', 'BCKDHA', 'PRLR']
219	GO:BP	GO:0019220	regulation of phosphate metabolic process	1.481036233544512e-07	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	1280	98	27	15719	0.2755102040816326	0.02109375	query_1	['GO:0006796', 'GO:0051174']	['SNX6', 'PDK4', 'GSK3B', 'CDK5RAP3', 'HSP90AB1', 'TNFRSF1A', 'TAB2', 'IKBKB', 'DDRGK1', 'TNF', 'FAS', 'GH2', 'RIPK1', 'PDK3', 'MALT1', 'PDK1', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'PDK2', 'FBXW7', 'BCL10', 'CSH2', 'PRLR']
220	GO:BP	GO:0045639	positive regulation of myeloid cell differentiation	1.4855859969016914e-07	True	"""Any process that activates or increases the frequency, rate or extent of myeloid cell differentiation."" [GOC:go_curators]"	99	98	9	15719	0.0918367346938775	0.0909090909090909	query_1	['GO:0030099', 'GO:0045597', 'GO:0045637']	['STAT3', 'TNF', 'FADD', 'HIF1A', 'RIPK1', 'ARNT', 'TRAF6', 'CASP8', 'STAT5B']
221	GO:BP	GO:0051174	regulation of phosphorus metabolic process	1.4855859969016914e-07	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:ai]"	1281	98	27	15719	0.2755102040816326	0.0210772833723653	query_1	['GO:0006793', 'GO:0031323']	['SNX6', 'PDK4', 'GSK3B', 'CDK5RAP3', 'HSP90AB1', 'TNFRSF1A', 'TAB2', 'IKBKB', 'DDRGK1', 'TNF', 'FAS', 'GH2', 'RIPK1', 'PDK3', 'MALT1', 'PDK1', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'PDK2', 'FBXW7', 'BCL10', 'CSH2', 'PRLR']
222	GO:BP	GO:0044272	sulfur compound biosynthetic process	1.4855859969016914e-07	True	"""The chemical reactions and pathways resulting in the formation of compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione."" [GOC:jl]"	134	98	10	15719	0.1020408163265306	0.0746268656716417	query_1	['GO:0006790', 'GO:0044249']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
223	GO:BP	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	1.5177428213787927e-07	True	"""Any process that activates or increases the frequency, rate or extent of the JAK-STAT signaling pathway activity."" [GOC:bf]"	45	98	7	15719	0.0714285714285714	0.1555555555555555	query_1	['GO:0007259', 'GO:0046425', 'GO:1904894']	['TNF', 'GH2', 'GH1', 'GHR', 'PRL', 'CSH2', 'PRLR']
224	GO:BP	GO:0006955	immune response	1.562539188887072e-07	True	"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]"	1662	98	31	15719	0.3163265306122449	0.0186522262334536	query_1	['GO:0002376', 'GO:0050896']	['CREBBP', 'MAP3K14', 'TRAF3', 'STAT3', 'CHUK', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'MALT1', 'NFKB2', 'EP300', 'AHR', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'SKP2', 'CASP8', 'BCL10', 'STAT5B']
225	GO:BP	GO:0001817	regulation of cytokine production	1.5713052381355013e-07	True	"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]"	709	98	20	15719	0.2040816326530612	0.0282087447108603	query_1	['GO:0001816', 'GO:0010468', 'GO:0051239']	['TRAF3', 'STAT3', 'HSP90AB1', 'CHUK', 'RELA', 'TNF', 'FADD', 'NFKB1', 'HIF1A', 'RIPK1', 'MALT1', 'ARNT', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'CASP8', 'BCL10', 'STAT5B']
226	GO:BP	GO:0010952	positive regulation of peptidase activity	1.5713052381355013e-07	True	"""Any process that increases the frequency, rate or extent of peptidase activity, the hydrolysis of peptide bonds within proteins."" [GOC:dph, GOC:tb]"	175	98	11	15719	0.1122448979591836	0.0628571428571428	query_1	['GO:0045862', 'GO:0051345', 'GO:0052547']	['EGLN3', 'STAT3', 'CASP10', 'DDRGK1', 'TNF', 'FAS', 'FADD', 'CFLAR', 'MALT1', 'CASP8', 'BCL10']
