Representing term id	Representing term name	Representing term rank	cluster_1 term id	cluster_1 term name	cluster_1 term rank	cluster_2 term id	cluster_2 term name	cluster_2 term rank	cluster_3 term id	cluster_3 term name	cluster_3 term rank	cluster_4 term id	cluster_4 term name	cluster_4 term rank	cluster_5 term id	cluster_5 term name	cluster_5 term rank	cluster_6 term id	cluster_6 term name	cluster_6 term rank
												REAC:R-HSA-937041	IKK complex recruitment mediated by RIP1	39						
												REAC:R-HSA-975163	IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	53						
												REAC:R-HSA-937072	TRAF6-mediated induction of TAK1 complex within TLR4 complex	54						
						REAC:R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	198				REAC:R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	58						
												REAC:R-HSA-450321	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	65						
												REAC:R-HSA-936964	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	67						
												REAC:R-HSA-450302	activated TAK1 mediates p38 MAPK activation	68						
												REAC:R-HSA-975144	IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation	72						
												REAC:R-HSA-937039	IRAK1 recruits IKK complex	73						
												REAC:R-HSA-937042	IRAK2 mediated activation of TAK1 complex	85						
												REAC:R-HSA-5603041	IRAK4 deficiency (TLR2/4)	122						
												REAC:R-HSA-5602498	MyD88 deficiency (TLR2/4)	147						
REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1
									REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	129				REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1			
															REAC:R-HSA-186797	Signaling by PDGF	6			
									REAC:R-HSA-194138	Signaling by VEGF	301				REAC:R-HSA-194138	Signaling by VEGF	8			
															REAC:R-HSA-6806834	Signaling by MET	12			
															REAC:R-HSA-186763	Downstream signal transduction	17			
									REAC:R-HSA-4420097	VEGFA-VEGFR2 Pathway	288				REAC:R-HSA-4420097	VEGFA-VEGFR2 Pathway	35			
															REAC:R-HSA-8875878	MET promotes cell motility	43			
									REAC:R-HSA-1251985	Nuclear signaling by ERBB4	123							REAC:R-HSA-1251985	Nuclear signaling by ERBB4	44
									REAC:R-HSA-177929	Signaling by EGFR	284				REAC:R-HSA-177929	Signaling by EGFR	45			
									REAC:R-HSA-166520	Signaling by NTRKs	198				REAC:R-HSA-166520	Signaling by NTRKs	46			
												REAC:R-HSA-5637812	Signaling by EGFRvIII in Cancer	194	REAC:R-HSA-5637812	Signaling by EGFRvIII in Cancer	49			
												REAC:R-HSA-5637810	Constitutive Signaling by EGFRvIII	195	REAC:R-HSA-5637810	Constitutive Signaling by EGFRvIII	50			
												REAC:R-HSA-1227986	Signaling by ERBB2	219	REAC:R-HSA-1227986	Signaling by ERBB2	51			
												REAC:R-HSA-9665348	Signaling by ERBB2 ECD mutants	201	REAC:R-HSA-9665348	Signaling by ERBB2 ECD mutants	54			
															REAC:R-HSA-187687	Signalling to ERKs	56			
									REAC:R-HSA-1236394	Signaling by ERBB4	118				REAC:R-HSA-1236394	Signaling by ERBB4	195	REAC:R-HSA-1236394	Signaling by ERBB4	60
															REAC:R-HSA-1433557	Signaling by SCF-KIT	62			
															REAC:R-HSA-8874081	MET activates PTK2 signaling	65			
												REAC:R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	220	REAC:R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	72			
												REAC:R-HSA-5637815	Signaling by Ligand-Responsive EGFR Variants in Cancer	221	REAC:R-HSA-5637815	Signaling by Ligand-Responsive EGFR Variants in Cancer	73			
									REAC:R-HSA-187037	Signaling by NTRK1 (TRKA)	196				REAC:R-HSA-187037	Signaling by NTRK1 (TRKA)	81			
															REAC:R-HSA-9664565	Signaling by ERBB2 KD Mutants	82			
															REAC:R-HSA-74751	Insulin receptor signalling cascade	85			
															REAC:R-HSA-1227990	Signaling by ERBB2 in Cancer	88			
									REAC:R-HSA-9006115	Signaling by NTRK2 (TRKB)	295				REAC:R-HSA-9006115	Signaling by NTRK2 (TRKB)	89			
															REAC:R-HSA-9669938	Signaling by KIT in disease	90			
															REAC:R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	91			
						REAC:R-HSA-9701898	STAT3 nuclear events downstream of ALK signaling	97	REAC:R-HSA-9701898	STAT3 nuclear events downstream of ALK signaling	146									
															REAC:R-HSA-1643713	Signaling by EGFR in Cancer	97			
															REAC:R-HSA-169893	Prolonged ERK activation events	98	REAC:R-HSA-169893	Prolonged ERK activation events	101
																		REAC:R-HSA-177504	Retrograde neurotrophin signalling	100
															REAC:R-HSA-170968	Frs2-mediated activation	106			
															REAC:R-HSA-6807004	Negative regulation of MET activity	107			
						REAC:R-HSA-201556	Signaling by ALK	116	REAC:R-HSA-201556	Signaling by ALK	174				REAC:R-HSA-201556	Signaling by ALK	226			
															REAC:R-HSA-5654741	Signaling by FGFR3	120			
															REAC:R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	123			
															REAC:R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	124			
															REAC:R-HSA-5654743	Signaling by FGFR4	130			
															REAC:R-HSA-74752	Signaling by Insulin receptor	131			
															REAC:R-HSA-2428924	IGF1R signaling cascade	132			
															REAC:R-HSA-2428928	IRS-related events triggered by IGF1R	133			
															REAC:R-HSA-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	134			
												REAC:R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	222	REAC:R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	139			
						REAC:R-HSA-9031628	NGF-stimulated transcription	210	REAC:R-HSA-9031628	NGF-stimulated transcription	140									
															REAC:R-HSA-112399	IRS-mediated signalling	142			
															REAC:R-HSA-5654736	Signaling by FGFR1	146			
															REAC:R-HSA-8875360	InlB-mediated entry of Listeria monocytogenes into host cell	151			
															REAC:R-HSA-9034015	Signaling by NTRK3 (TRKC)	152			
															REAC:R-HSA-8875555	MET activates RAP1 and RAC1	156			
									REAC:R-HSA-180292	GAB1 signalosome	283				REAC:R-HSA-180292	GAB1 signalosome	164			
															REAC:R-HSA-5654708	Downstream signaling of activated FGFR3	166			
												REAC:R-HSA-8863795	Downregulation of ERBB2 signaling	168	REAC:R-HSA-8863795	Downregulation of ERBB2 signaling	264			
						REAC:R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	246	REAC:R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	175									
															REAC:R-HSA-1433559	Regulation of KIT signaling	176			
															REAC:R-HSA-109704	PI3K Cascade	178			
															REAC:R-HSA-5654716	Downstream signaling of activated FGFR4	185			
															REAC:R-HSA-5654687	Downstream signaling of activated FGFR1	186			
															REAC:R-HSA-5654696	Downstream signaling of activated FGFR2	187			
															REAC:R-HSA-182971	EGFR downregulation	188			
															REAC:R-HSA-5654738	Signaling by FGFR2	191			
															REAC:R-HSA-167044	Signalling to RAS	194			
															REAC:R-HSA-1963642	PI3K events in ERBB2 signaling	198			
															REAC:R-HSA-190236	Signaling by FGFR	205			
									REAC:R-HSA-5218920	VEGFR2 mediated vascular permeability	208									
															REAC:R-HSA-1295596	Spry regulation of FGF signaling	210			
															REAC:R-HSA-1250196	SHC1 events in ERBB2 signaling	230			
															REAC:R-HSA-1963640	GRB2 events in ERBB2 signaling	238			
															REAC:R-HSA-6785631	ERBB2 Regulates Cell Motility	239			
															REAC:R-HSA-5654710	PI-3K cascade:FGFR3	240			
															REAC:R-HSA-180336	SHC1 events in EGFR signaling	242			
															REAC:R-HSA-5654732	Negative regulation of FGFR3 signaling	248			
															REAC:R-HSA-5654689	PI-3K cascade:FGFR1	254			
															REAC:R-HSA-5654726	Negative regulation of FGFR1 signaling	260			
															REAC:R-HSA-5654720	PI-3K cascade:FGFR4	261			
															REAC:R-HSA-5218921	VEGFR2 mediated cell proliferation	262			
															REAC:R-HSA-5654733	Negative regulation of FGFR4 signaling	263			
															REAC:R-HSA-5654727	Negative regulation of FGFR2 signaling	267			
															REAC:R-HSA-5654695	PI-3K cascade:FGFR2	268			
															REAC:R-HSA-1250347	SHC1 events in ERBB4 signaling	279			
															REAC:R-HSA-179812	GRB2 events in EGFR signaling	284			
															REAC:R-HSA-171007	p38MAPK events	286			
															REAC:R-HSA-5654706	FRS-mediated FGFR3 signaling	304			
REAC:R-HSA-9007101	Rab regulation of trafficking	1
												REAC:R-HSA-9007101	Rab regulation of trafficking	216				REAC:R-HSA-9007101	Rab regulation of trafficking	1
																		REAC:R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	2
												REAC:R-HSA-8854214	TBC/RABGAPs	155				REAC:R-HSA-8854214	TBC/RABGAPs	6
REAC:R-HSA-216083	Integrin cell surface interactions	2
															REAC:R-HSA-216083	Integrin cell surface interactions	2			
REAC:R-HSA-1640170	Cell Cycle	3
			REAC:R-HSA-1640170	Cell Cycle	3	REAC:R-HSA-1640170	Cell Cycle	11	REAC:R-HSA-1640170	Cell Cycle	96	REAC:R-HSA-1640170	Cell Cycle	197						
			REAC:R-HSA-69242	S Phase	40	REAC:R-HSA-69242	S Phase	6	REAC:R-HSA-69242	S Phase	79									
			REAC:R-HSA-180786	Extension of Telomeres	8	REAC:R-HSA-180786	Extension of Telomeres	185												
			REAC:R-HSA-69278	Cell Cycle, Mitotic	48	REAC:R-HSA-69278	Cell Cycle, Mitotic	9	REAC:R-HSA-69278	Cell Cycle, Mitotic	75									
			REAC:R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	129	REAC:R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	12	REAC:R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	39									
			REAC:R-HSA-69052	Switching of origins to a post-replicative state	110	REAC:R-HSA-69052	Switching of origins to a post-replicative state	19	REAC:R-HSA-69052	Switching of origins to a post-replicative state	238									
			REAC:R-HSA-69239	Synthesis of DNA	58	REAC:R-HSA-69239	Synthesis of DNA	23	REAC:R-HSA-69239	Synthesis of DNA	276									
			REAC:R-HSA-68949	Orc1 removal from chromatin	100	REAC:R-HSA-68949	Orc1 removal from chromatin	24	REAC:R-HSA-68949	Orc1 removal from chromatin	260									
			REAC:R-HSA-157579	Telomere Maintenance	25															
			REAC:R-HSA-9687139	Aberrant regulation of mitotic cell cycle due to RB1 defects	133	REAC:R-HSA-9687139	Aberrant regulation of mitotic cell cycle due to RB1 defects	25	REAC:R-HSA-9687139	Aberrant regulation of mitotic cell cycle due to RB1 defects	47									
			REAC:R-HSA-174417	Telomere C-strand (Lagging Strand) Synthesis	26															
			REAC:R-HSA-9675126	Diseases of mitotic cell cycle	103	REAC:R-HSA-9675126	Diseases of mitotic cell cycle	27	REAC:R-HSA-9675126	Diseases of mitotic cell cycle	44									
			REAC:R-HSA-73886	Chromosome Maintenance	28	REAC:R-HSA-73886	Chromosome Maintenance	257												
			REAC:R-HSA-69481	G2/M Checkpoints	29	REAC:R-HSA-69481	G2/M Checkpoints	55												
			REAC:R-HSA-69473	G2/M DNA damage checkpoint	37							REAC:R-HSA-69473	G2/M DNA damage checkpoint	183						
			REAC:R-HSA-69273	Cyclin A/B1/B2 associated events during G2/M transition	167	REAC:R-HSA-69273	Cyclin A/B1/B2 associated events during G2/M transition	41	REAC:R-HSA-69273	Cyclin A/B1/B2 associated events during G2/M transition	156									
			REAC:R-HSA-69620	Cell Cycle Checkpoints	43	REAC:R-HSA-69620	Cell Cycle Checkpoints	45	REAC:R-HSA-69620	Cell Cycle Checkpoints	271									
			REAC:R-HSA-176187	Activation of ATR in response to replication stress	59	REAC:R-HSA-176187	Activation of ATR in response to replication stress	44												
			REAC:R-HSA-69190	DNA strand elongation	46	REAC:R-HSA-69190	DNA strand elongation	157												
			REAC:R-HSA-174411	Polymerase switching on the C-strand of the telomere	50															
			REAC:R-HSA-453274	Mitotic G2-G2/M phases	145	REAC:R-HSA-453274	Mitotic G2-G2/M phases	51	REAC:R-HSA-453274	Mitotic G2-G2/M phases	207	REAC:R-HSA-453274	Mitotic G2-G2/M phases	131						
			REAC:R-HSA-69275	G2/M Transition	143	REAC:R-HSA-69275	G2/M Transition	56	REAC:R-HSA-69275	G2/M Transition	219	REAC:R-HSA-69275	G2/M Transition	129						
			REAC:R-HSA-69183	Processive synthesis on the lagging strand	57															
			REAC:R-HSA-174430	Telomere C-strand synthesis initiation	60															
			REAC:R-HSA-171319	Telomere Extension By Telomerase	61	REAC:R-HSA-171319	Telomere Extension By Telomerase	172												
			REAC:R-HSA-69166	Removal of the Flap Intermediate	62															
			REAC:R-HSA-1500620	Meiosis	65															
			REAC:R-HSA-69186	Lagging Strand Synthesis	66															
			REAC:R-HSA-912446	Meiotic recombination	75															
			REAC:R-HSA-69109	Leading Strand Synthesis	79															
			REAC:R-HSA-69091	Polymerase switching	80															
			REAC:R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint	180	REAC:R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint	89	REAC:R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint	181									
			REAC:R-HSA-69563	p53-Dependent G1 DNA Damage Response	181	REAC:R-HSA-69563	p53-Dependent G1 DNA Damage Response	90	REAC:R-HSA-69563	p53-Dependent G1 DNA Damage Response	182									
			REAC:R-HSA-69615	G1/S DNA Damage Checkpoints	189	REAC:R-HSA-69615	G1/S DNA Damage Checkpoints	92	REAC:R-HSA-69615	G1/S DNA Damage Checkpoints	184									
						REAC:R-HSA-453276	Regulation of mitotic cell cycle	93	REAC:R-HSA-453276	Regulation of mitotic cell cycle	233									
						REAC:R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	94	REAC:R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	232									
						REAC:R-HSA-162658	Golgi Cisternae Pericentriolar Stack Reorganization	182										REAC:R-HSA-162658	Golgi Cisternae Pericentriolar Stack Reorganization	94
																		REAC:R-HSA-8854518	AURKA Activation by TPX2	97
			REAC:R-HSA-176974	Unwinding of DNA	99	REAC:R-HSA-176974	Unwinding of DNA	135												
			REAC:R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	200	REAC:R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	199										REAC:R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	103
			REAC:R-HSA-1221632	Meiotic synapsis	112															
			REAC:R-HSA-9670095	Inhibition of DNA recombination at telomere	116															
						REAC:R-HSA-156711	Polo-like kinase mediated events	117												
						REAC:R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	120	REAC:R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	279									
			REAC:R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	214	REAC:R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	201				REAC:R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	125						
						REAC:R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	158												
						REAC:R-HSA-2514853	Condensation of Prometaphase Chromosomes	177												
						REAC:R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	189												
			REAC:R-HSA-2995410	Nuclear Envelope (NE) Reassembly	190															
			REAC:R-HSA-9615933	Postmitotic nuclear pore complex (NPC) reformation	220															
			REAC:R-HSA-380259	Loss of Nlp from mitotic centrosomes	222															
			REAC:R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	223															
			REAC:R-HSA-2980766	Nuclear Envelope Breakdown	226															
						REAC:R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	227												
						REAC:R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	228												
						REAC:R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	236												
						REAC:R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	237												
						REAC:R-HSA-2465910	MASTL Facilitates Mitotic Progression	238												
						REAC:R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	251												
						REAC:R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	254												
						REAC:R-HSA-4419969	Depolymerisation of the Nuclear Lamina	255												
															REAC:R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	269			
REAC:R-HSA-162582	Signal Transduction	3
						REAC:R-HSA-162582	Signal Transduction	84	REAC:R-HSA-162582	Signal Transduction	11	REAC:R-HSA-162582	Signal Transduction	96	REAC:R-HSA-162582	Signal Transduction	3			
REAC:R-HSA-8873719	RAB geranylgeranylation	3
																		REAC:R-HSA-8873719	RAB geranylgeranylation	3
REAC:R-HSA-168898	Toll-like Receptor Cascades	4
												REAC:R-HSA-168898	Toll-like Receptor Cascades	4						
												REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	5						
												REAC:R-HSA-975155	MyD88 dependent cascade initiated on endosome	7						
												REAC:R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	8						
												REAC:R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	9						
												REAC:R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	10						
												REAC:R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	16						
												REAC:R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	17						
												REAC:R-HSA-975871	MyD88 cascade initiated on plasma membrane	18						
												REAC:R-HSA-5602358	Diseases associated with the TLR signaling cascade	46						
												REAC:R-HSA-5260271	Diseases of Immune System	47						
												REAC:R-HSA-168927	TICAM1, RIP1-mediated IKK complex recruitment	61						
												REAC:R-HSA-975110	TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	83						
												REAC:R-HSA-9014325	TICAM1,TRAF6-dependent induction of TAK1 complex	86						
												REAC:R-HSA-9013973	TICAM1-dependent activation of IRF3/IRF7	90						
															REAC:R-HSA-5686938	Regulation of TLR by endogenous ligand	206			
REAC:R-HSA-1474244	Extracellular matrix organization	4
															REAC:R-HSA-1474244	Extracellular matrix organization	4			
															REAC:R-HSA-3000171	Non-integrin membrane-ECM interactions	20			
															REAC:R-HSA-1566948	Elastic fibre formation	24			
															REAC:R-HSA-3000178	ECM proteoglycans	25			
															REAC:R-HSA-2129379	Molecules associated with elastic fibres	37			
															REAC:R-HSA-3000170	Syndecan interactions	44			
															REAC:R-HSA-1650814	Collagen biosynthesis and modifying enzymes	63			
															REAC:R-HSA-1474290	Collagen formation	71			
															REAC:R-HSA-8948216	Collagen chain trimerization	87			
															REAC:R-HSA-2243919	Crosslinking of collagen fibrils	96			
															REAC:R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	102			
															REAC:R-HSA-3000157	Laminin interactions	117			
															REAC:R-HSA-1474228	Degradation of the extracellular matrix	119			
															REAC:R-HSA-2214320	Anchoring fibril formation	128			
															REAC:R-HSA-1442490	Collagen degradation	135			
REAC:R-HSA-199991	Membrane Trafficking	4
																		REAC:R-HSA-199991	Membrane Trafficking	4
																		REAC:R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane	42
																		REAC:R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	77
																		REAC:R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic	79
																		REAC:R-HSA-8856688	Golgi-to-ER retrograde transport	82
																		REAC:R-HSA-199992	trans-Golgi Network Vesicle Budding	99
						REAC:R-HSA-983189	Kinesins	197												
															REAC:R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	217			
															REAC:R-HSA-8856828	Clathrin-mediated endocytosis	249			
						REAC:R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	253												
REAC:R-HSA-9675108	Nervous system development	5
															REAC:R-HSA-9675108	Nervous system development	5			
															REAC:R-HSA-422475	Axon guidance	7			
															REAC:R-HSA-8853659	RET signaling	48			
															REAC:R-HSA-445144	Signal transduction by L1	52			
									REAC:R-HSA-3928665	EPH-ephrin mediated repulsion of cells	250				REAC:R-HSA-3928665	EPH-ephrin mediated repulsion of cells	201	REAC:R-HSA-3928665	EPH-ephrin mediated repulsion of cells	57
															REAC:R-HSA-3928662	EPHB-mediated forward signaling	64			
															REAC:R-HSA-375165	NCAM signaling for neurite out-growth	80			
															REAC:R-HSA-2682334	EPH-Ephrin signaling	116	REAC:R-HSA-2682334	EPH-Ephrin signaling	81
									REAC:R-HSA-9619665	EGR2 and SOX10-mediated initiation of Schwann cell myelination	98									
															REAC:R-HSA-373760	L1CAM interactions	111			
															REAC:R-HSA-373755	Semaphorin interactions	141			
															REAC:R-HSA-419037	NCAM1 interactions	147			
												REAC:R-HSA-399954	Sema3A PAK dependent Axon repulsion	213	REAC:R-HSA-399954	Sema3A PAK dependent Axon repulsion	190			
															REAC:R-HSA-3928664	Ephrin signaling	193			
															REAC:R-HSA-418885	DCC mediated attractive signaling	202			
															REAC:R-HSA-373752	Netrin-1 signaling	204			
															REAC:R-HSA-400685	Sema4D in semaphorin signaling	222			
															REAC:R-HSA-416572	Sema4D induced cell migration and growth-cone collapse	237			
															REAC:R-HSA-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	252			
															REAC:R-HSA-3928663	EPHA-mediated growth cone collapse	266			
															REAC:R-HSA-416700	Other semaphorin interactions	274			
															REAC:R-HSA-428540	Activation of RAC1	300			
REAC:R-HSA-5653656	Vesicle-mediated transport	5
															REAC:R-HSA-5653656	Vesicle-mediated transport	221	REAC:R-HSA-5653656	Vesicle-mediated transport	5
															REAC:R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	165			
															REAC:R-HSA-3000480	Scavenging by Class A Receptors	175			
															REAC:R-HSA-2168880	Scavenging of heme from plasma	275			
REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	6
						REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	111	REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	6	REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	171				REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	63
						REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	114	REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	7	REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	172				REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	62
						REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	115	REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	8	REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	170				REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	64
						REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	113	REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	9	REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	174				REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	61
						REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	112	REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	10	REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	173				REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	65
									REAC:R-HSA-2691232	Constitutive Signaling by NOTCH1 HD Domain Mutants	193									
									REAC:R-HSA-2691230	Signaling by NOTCH1 HD Domain Mutants in Cancer	194									
REAC:R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	6
												REAC:R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	6						
												REAC:R-HSA-168638	NOD1/2 Signaling Pathway	33						
												REAC:R-HSA-622312	Inflammasomes	34						
												REAC:R-HSA-844456	The NLRP3 inflammasome	62						
REAC:R-HSA-109582	Hemostasis	9
															REAC:R-HSA-109582	Hemostasis	9			
															REAC:R-HSA-76002	Platelet activation, signaling and aggregation	11			
															REAC:R-HSA-114604	GPVI-mediated activation cascade	16			
															REAC:R-HSA-202733	Cell surface interactions at the vascular wall	41			
															REAC:R-HSA-354192	Integrin signaling	55			
															REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	58			
															REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	59			
															REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	75			
						REAC:R-HSA-983231	Factors involved in megakaryocyte development and platelet production	108	REAC:R-HSA-983231	Factors involved in megakaryocyte development and platelet production	272				REAC:R-HSA-983231	Factors involved in megakaryocyte development and platelet production	306	REAC:R-HSA-983231	Factors involved in megakaryocyte development and platelet production	104
															REAC:R-HSA-210990	PECAM1 interactions	105			
															REAC:R-HSA-210993	Tie2 Signaling	108			
															REAC:R-HSA-114608	Platelet degranulation 	118			
															REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	126			
															REAC:R-HSA-75892	Platelet Adhesion to exposed collagen	158			
															REAC:R-HSA-430116	GP1b-IX-V activation signalling	196			
REAC:R-HSA-205043	NRIF signals cell death from the nucleus	9
									REAC:R-HSA-205043	NRIF signals cell death from the nucleus	173							REAC:R-HSA-205043	NRIF signals cell death from the nucleus	9
REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	10
						REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	88	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	14	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	153	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	10			
															REAC:R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	18			
															REAC:R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	21			
															REAC:R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	26			
															REAC:R-HSA-9656223	Signaling by RAF1 mutants	27			
															REAC:R-HSA-9649948	Signaling downstream of RAS mutants	28			
															REAC:R-HSA-6802949	Signaling by RAS mutants	29			
															REAC:R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	30			
						REAC:R-HSA-2219528	PI3K/AKT Signaling in Cancer	207	REAC:R-HSA-2219528	PI3K/AKT Signaling in Cancer	191	REAC:R-HSA-2219528	PI3K/AKT Signaling in Cancer	175	REAC:R-HSA-2219528	PI3K/AKT Signaling in Cancer	40			
															REAC:R-HSA-6802952	Signaling by BRAF and RAF1 fusions	47			
															REAC:R-HSA-6802957	Oncogenic MAPK signaling	57			
			REAC:R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	166	REAC:R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	140	REAC:R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	200	REAC:R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	114						
			REAC:R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	205	REAC:R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	122	REAC:R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	245	REAC:R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	149	REAC:R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	233			
